NAME                                     READY   STATUS    RESTARTS   AGE   IP               NODE           NOMINATED NODE   READINESS GATES
compose-post-service-64d956f48-b762r     1/1     Running   0          5s    192.168.99.225   emu-worker-6   <none>           <none>
home-timeline-service-5ff4c6d6fd-sk7j7   1/1     Running   0          5s    192.168.99.224   emu-worker-6   <none>           <none>
media-service-6897876856-dqtkq           1/1     Running   0          4s    192.168.99.228   emu-worker-6   <none>           <none>
nginx-thrift-744bb9c6cc-mf9j6            1/1     Running   0          5s    192.168.99.226   emu-worker-6   <none>           <none>
text-service-5d494ccd4-ddnsc             1/1     Running   0          4s    192.168.99.229   emu-worker-6   <none>           <none>
unique-id-service-5668cd59d6-4txzs       1/1     Running   0          4s    192.168.99.227   emu-worker-6   <none>           <none>
user-service-85d78fb856-kcpnn            1/1     Running   0          5s    192.168.99.220   emu-worker-6   <none>           <none>
user-timeline-service-ff9b5bb6-w6bk7     1/1     Running   0          5s    192.168.99.223   emu-worker-6   <none>           <none>
