LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
7s          Normal    Scheduled           pod/media-service-7d96478d98-vq644            Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/media-service-7d96478d98-vq644 to emu-worker-3
9s          Normal    Scheduled           pod/user-timeline-service-78d45cbb8-lzxhd     Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/user-timeline-service-78d45cbb8-lzxhd to emu-worker-7
8s          Normal    Scheduled           pod/user-service-58448d8fbd-86lkl             Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/user-service-58448d8fbd-86lkl to emu-worker-7
8s          Normal    Scheduled           pod/unique-id-service-5c9856c46d-xrtd5        Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/unique-id-service-5c9856c46d-xrtd5 to emu-worker-9
8s          Normal    Scheduled           pod/text-service-55b694657b-k4b7m             Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/text-service-55b694657b-k4b7m to emu-worker-9
9s          Normal    Scheduled           pod/compose-post-service-5b86b4db6d-4tbxm     Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/compose-post-service-5b86b4db6d-4tbxm to emu-worker-6
9s          Normal    Scheduled           pod/nginx-thrift-67c58c9cd9-k8bgk             Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/nginx-thrift-67c58c9cd9-k8bgk to emu-worker-10
9s          Normal    Scheduled           pod/home-timeline-service-5f75778fd4-s6mln    Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep1/home-timeline-service-5f75778fd4-s6mln to emu-worker-6
10s         Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-67c58c9cd9 from 0 to 1
10s         Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-5b86b4db6d from 0 to 1
10s         Normal    ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-78d45cbb8 from 0 to 1
10s         Normal    SuccessfulCreate    replicaset/user-timeline-service-78d45cbb8    Created pod: user-timeline-service-78d45cbb8-lzxhd
10s         Normal    SuccessfulCreate    replicaset/home-timeline-service-5f75778fd4   Created pod: home-timeline-service-5f75778fd4-s6mln
10s         Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-5f75778fd4 from 0 to 1
10s         Normal    ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-58448d8fbd from 0 to 1
10s         Normal    SuccessfulCreate    replicaset/nginx-thrift-67c58c9cd9            Created pod: nginx-thrift-67c58c9cd9-k8bgk
10s         Normal    SuccessfulCreate    replicaset/compose-post-service-5b86b4db6d    Created pod: compose-post-service-5b86b4db6d-4tbxm
9s          Normal    SuccessfulCreate    replicaset/user-service-58448d8fbd            Created pod: user-service-58448d8fbd-86lkl
