step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.700000,0.200000,0.100000,63.000000,18.000000,9.000000,0.912956,0.000000,0.000000,1.000000,0.00000000,1.156780,0.000000,14,0.432308,1.218858,,,96.057304,129.000000,0.744630,0.000000
1,5.000,0.699060,0.200503,0.100437,62.915385,18.045256,9.039360,0.924022,0.000000,0.012090,1.000000,0.00241795,1.158913,0.000000,14,0.431403,1.218787,,,97.696759,129.024487,0.757195,0.000000
2,10.000,0.698121,0.201005,0.100874,62.830876,18.090454,9.078670,0.953115,0.000000,0.030635,1.000000,0.00612695,1.161037,0.000000,14,0.430500,1.218712,,,101.703670,129.048943,0.788102,0.000000
3,15.000,0.697183,0.201507,0.101310,62.746474,18.135595,9.117931,0.983261,0.000000,0.030770,1.000000,0.00615397,1.163153,0.000000,14,0.429598,1.218634,,,102.367549,129.073368,0.793096,0.000000
4,20.000,0.696246,0.202008,0.101746,62.662179,18.180678,9.157143,0.929781,0.000000,0.054282,1.000000,0.01085648,1.165259,0.000000,14,0.428697,1.218553,,,101.670889,129.097762,0.787550,0.000000
5,25.000,0.695311,0.202508,0.102181,62.577992,18.225702,9.196306,0.928188,0.000000,0.002340,1.000000,0.00046795,1.167356,0.000000,14,0.427797,1.218469,,,101.859318,129.122124,0.788860,0.000000
6,30.000,0.694377,0.203007,0.102616,62.493911,18.270668,9.235421,0.941149,0.000000,0.013884,1.000000,0.00277690,1.169445,0.000000,14,0.426899,1.218382,,,99.115105,129.146455,0.767463,0.000000
7,35.000,0.693444,0.203506,0.103050,62.409939,18.315575,9.274486,0.994748,0.066667,0.069739,1.000000,0.01394784,1.171524,0.000000,15,0.441001,1.298365,,,102.590664,129.170754,0.794225,0.000000
8,40.000,0.692512,0.204005,0.103483,62.326074,18.360422,9.313504,0.934743,0.066667,0.075861,1.000000,0.01517223,1.173595,0.000000,14,0.425107,1.218196,,,103.532533,129.195021,0.801366,0.000000
9,45.000,0.691581,0.204502,0.103916,62.242317,18.405210,9.352473,0.995077,0.066667,0.076502,1.000000,0.01530032,1.175656,0.000000,15,0.439171,1.297862,,,106.435457,129.219257,0.823681,0.000000
10,50.000,0.690652,0.204999,0.104349,62.158669,18.449938,9.391393,0.988230,0.000000,0.006701,1.000000,0.00134013,1.177710,0.000000,15,0.438259,1.297605,,,100.215700,129.243461,0.775402,0.000000
11,55.000,0.689724,0.205496,0.104781,62.075128,18.494606,9.430266,0.936668,0.066667,0.068041,1.000000,0.01360830,1.179754,0.000000,14,0.422428,1.217893,,,101.785584,129.267632,0.787402,0.000000
12,60.000,0.688797,0.205991,0.105212,61.991696,18.539213,9.469091,0.977566,0.066667,0.058215,1.000000,0.01164305,1.181789,0.000000,15,0.436439,1.297077,,,99.828272,129.291771,0.772116,0.000000
13,65.000,0.687871,0.206486,0.105643,61.908373,18.583759,9.507868,0.969759,0.000000,0.007807,1.000000,0.00156147,1.183816,0.000000,15,0.435531,1.296807,,,99.214827,129.315878,0.767228,0.000000
14,70.000,0.686946,0.206980,0.106073,61.825158,18.628244,9.546597,0.967219,0.000000,0.002654,1.000000,0.00053087,1.185835,0.000000,15,0.434624,1.296533,,,101.055977,129.339953,0.781321,0.000000
15,75.000,0.686023,0.207474,0.106503,61.742053,18.672668,9.585280,1.026568,0.000000,0.057982,1.000000,0.01159648,1.187844,0.000000,15,0.433719,1.296254,,,101.665747,129.363994,0.785889,0.000000
16,80.000,0.685101,0.207967,0.106932,61.659056,18.717029,9.623915,0.937211,0.066667,0.102630,1.000000,0.02052609,1.189845,0.000000,14,0.417992,1.217319,,,104.668484,129.388004,0.808950,0.000000
17,85.000,0.684180,0.208459,0.107361,61.576169,18.761329,9.662502,0.930896,0.000000,0.006627,1.000000,0.00132542,1.191838,0.000000,14,0.417109,1.217194,,,97.942077,129.411980,0.756824,0.000000
