benchmark,scale,replica_level,workload_mode,policy,evidence_type,steps,mean_latency_ms,p95_latency_ms,mean_sla_violation_ratio,mean_throughput_rps,mean_active_edge_count,mean_gda_total_time_ms,pod_node_occupancy_ratio
moe-serving,scale20,replica5,markov,cga,replay,500,82.208542,121.825319,0.000000,90.000000,8.202000,0.018215,1.000000
moe-serving,scale20,replica5,markov,hda,replay,500,78.634610,115.490715,0.000000,90.000000,8.202000,0.018215,1.000000
moe-serving,scale20,replica5,markov,kubernetes-default,replay,500,87.620796,128.792964,0.000000,90.000000,8.202000,0.018215,1.000000
moe-serving,scale20,replica5,markov,policy2,replay,500,80.380002,119.093053,0.000000,90.000000,8.202000,0.018215,1.000000
moe-serving,scale20,replica5,markov,policy3,replay,500,79.442122,117.729796,0.000000,90.000000,8.202000,0.018215,1.000000
