source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,41,0.205000,2.653631,17.163951
cache,aggregator,14,0.070000,2.868876,46.024549
expert-0,aggregator,200,1.000000,52.995576,90.478113
expert-1,aggregator,200,1.000000,34.742750,82.949200
expert-2,aggregator,109,0.545000,10.358189,68.462813
expert-3,aggregator,5,0.025000,0.720314,29.876079
frontend,router,200,1.000000,73.375924,126.618822
frontend,tokenizer,200,1.000000,54.245029,99.089508
router,cache,76,0.380000,9.808484,67.605184
router,expert-0,200,1.000000,58.754872,99.187516
router,expert-1,200,1.000000,38.774659,90.924076
router,expert-2,139,0.695000,12.315923,75.458623
router,expert-3,5,0.025000,0.840367,34.855426
