metric,value
mean_edge_jaccard_distance,0.04612961
mean_weighted_edge_distance,0.11685808
mean_hot_edge_rank_correlation,0.95160693
mean_graph_change_rate_per_s,1.16858064
mean_request_mix_entropy,1.82778500
mean_top3_hotspot_churn,0.09346734
mean_active_edge_count,7.94500000
mean_traffic_stress_gini,0.25417222
mean_traffic_stress_skew,0.06469986
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01601003
mean_gda_total_time_ms,0.01601003
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.43590052
traffic_stress_latency_correlation,-0.07381146
kubernetes-default_mean_latency_ms,88.06249164
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.82778500
cga_mean_latency_ms,82.45205181
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.82778500
hda_mean_latency_ms,78.99891747
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.82778500
policy2_mean_latency_ms,80.98183971
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,1.82778500
policy3_mean_latency_ms,79.93538030
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,1.82778500
