policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
kubernetes-default,K8s default,replay,200,88.062492,0.000000,0.000000,1.827785,7.945000,false,false
cga,CGA,replay,200,82.452052,0.000000,0.000000,1.827785,7.945000,false,false
hda,HDA,replay,200,78.998917,0.000000,0.000000,1.827785,7.945000,false,false
policy2,Policy 2,replay,200,80.981840,0.000000,0.000000,1.827785,7.945000,false,false
policy3,Policy 3,replay,200,79.935380,0.000000,0.000000,1.827785,7.945000,false,false
