step,time_s,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout,qps_index,qps_setCurrency,qps_browseProduct,qps_addToCart,qps_viewCart,qps_checkout,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.041687,0.135361,0.676804,0.083374,0.047081,0.015694,5.002437,16.243297,81.216486,10.004875,5.649678,1.883226,0.978681,0.000000,0.000000,1.000000,0.00000000,1.563267,0.000000,7,0.307166,0.178480,,,88.053462,135.890114,0.647975,0.000000
1,1.000,0.042160,0.136044,0.676440,0.082808,0.046627,0.015920,5.059229,16.325276,81.172750,9.937006,5.595281,1.910457,0.976378,0.000000,0.003183,1.000000,0.00318258,1.564522,0.000000,7,0.307755,0.175129,,,87.140886,135.867720,0.641366,0.000000
2,2.000,0.042637,0.136726,0.676055,0.082243,0.046186,0.016153,5.116441,16.407170,81.126549,9.869162,5.542311,1.938367,0.974189,0.000000,0.003083,1.000000,0.00308342,1.565837,0.000000,7,0.308333,0.171827,,,86.037159,135.845543,0.633345,0.000000
3,3.000,0.043117,0.137408,0.675649,0.081678,0.045757,0.016391,5.174072,16.488971,81.077868,9.801348,5.490781,1.966959,0.966759,0.000000,0.008477,1.000000,0.00847679,1.567212,0.000000,7,0.308898,0.168575,,,86.139865,135.823587,0.634204,0.000000
4,4.000,0.043601,0.138089,0.675222,0.081113,0.045339,0.016635,5.232122,16.570676,81.026693,9.733569,5.440704,1.996237,1.002093,0.000000,0.034423,1.000000,0.03442254,1.568649,0.000000,7,0.309450,0.165373,,,86.255924,135.801854,0.635160,0.000000
5,5.000,0.044088,0.138769,0.674775,0.080549,0.044934,0.016885,5.290589,16.652277,80.973008,9.665828,5.392095,2.026203,0.934081,0.000000,0.068691,1.000000,0.06869146,1.570147,0.000000,7,0.309991,0.162222,,,89.552380,135.780347,0.659539,0.000000
6,6.000,0.044579,0.139448,0.674307,0.079984,0.044541,0.017140,5.349474,16.733769,80.916800,9.598131,5.344966,2.056860,0.952292,0.000000,0.018245,1.000000,0.01824512,1.571707,0.000000,7,0.310519,0.159121,,,85.507546,135.759070,0.629848,0.000000
7,7.000,0.045073,0.140126,0.673817,0.079421,0.044161,0.017402,5.408776,16.815146,80.858052,9.530481,5.299332,2.088212,0.985291,0.000000,0.032615,1.000000,0.03261463,1.573331,0.000000,7,0.311034,0.156071,,,85.931298,135.738025,0.633067,0.000000
8,8.000,0.045571,0.140803,0.673306,0.078857,0.043793,0.017669,5.468494,16.896402,80.796750,9.462885,5.255207,2.120262,0.943147,0.000000,0.043653,0.964286,0.04365274,1.575018,0.000000,7,0.311547,0.153072,,,84.968057,135.717216,0.626067,0.000000
9,9.000,0.046072,0.141479,0.672774,0.078295,0.043438,0.017942,5.528627,16.977530,80.732878,9.395346,5.212606,2.153013,0.993439,0.000000,0.049738,1.000000,0.04973830,1.576769,0.000000,7,0.312067,0.150125,,,89.068706,135.696645,0.656381,0.000000
10,10.000,0.046576,0.142154,0.672220,0.077732,0.043096,0.018221,5.589175,17.058524,80.666420,9.327870,5.171543,2.186468,0.967814,0.000000,0.026715,1.000000,0.02671479,1.578584,0.000000,7,0.312574,0.147231,,,85.250174,135.676316,0.628335,0.000000
11,11.000,0.047084,0.142828,0.671645,0.077171,0.042767,0.018505,5.650136,17.139377,80.597361,9.260462,5.132034,2.220631,1.017496,0.000000,0.047915,1.000000,0.04791530,1.580465,0.000000,7,0.313067,0.144388,,,88.940378,135.656233,0.655631,0.000000
12,12.000,0.047596,0.143501,0.671047,0.076609,0.042451,0.018796,5.711509,17.220083,80.525684,9.193126,5.094093,2.255504,0.962578,0.000000,0.054893,1.000000,0.05489288,1.582412,0.000000,7,0.313548,0.141599,,,91.073074,135.636398,0.671450,0.000000
13,13.000,0.048111,0.144172,0.670428,0.076049,0.042148,0.019092,5.773294,17.300634,80.451373,9.125870,5.057736,2.291092,1.020955,0.000000,0.056250,1.000000,0.05624961,1.584425,0.000000,7,0.314016,0.138862,,,90.105318,135.616816,0.664411,0.000000
14,14.000,0.048629,0.144842,0.669787,0.075489,0.041858,0.019395,5.835490,17.381024,80.374413,9.058697,5.022979,2.327397,1.032305,0.000000,0.010007,1.000000,0.01000678,1.586505,0.000000,7,0.314469,0.136180,,,86.860067,135.597489,0.640573,0.000000
15,15.000,0.049151,0.145510,0.669123,0.074930,0.041582,0.019704,5.898095,17.461246,80.294786,8.991613,4.989837,2.364423,0.968848,0.000000,0.062420,1.000000,0.06241957,1.588653,0.000000,7,0.314910,0.133552,,,88.020323,135.578420,0.649221,0.000000
16,16.000,0.049676,0.146177,0.668437,0.074372,0.041319,0.020018,5.961109,17.541291,80.212475,8.924625,4.958326,2.402174,0.968254,0.000000,0.001673,1.000000,0.00167343,1.590869,0.000000,7,0.315336,0.130978,,,86.868984,135.559615,0.640818,0.000000
17,17.000,0.050204,0.146843,0.667729,0.073814,0.041071,0.020339,6.024529,17.621153,80.127465,8.857738,4.928464,2.440651,0.947330,0.000000,0.022626,1.000000,0.02262587,1.593153,0.000000,7,0.315749,0.128460,,,83.566601,135.541076,0.616541,0.000000
18,18.000,0.050736,0.147507,0.666998,0.073258,0.040836,0.020665,6.088355,17.700824,80.039738,8.790957,4.900265,2.479860,0.974160,0.000000,0.026519,1.000000,0.02651885,1.595507,0.000000,7,0.316147,0.125997,,,83.921385,135.522807,0.619242,0.000000
19,19.000,0.051272,0.148169,0.666244,0.072702,0.040615,0.020998,6.152586,17.780296,79.949278,8.724290,4.873748,2.519803,0.972745,0.000000,0.002516,1.000000,0.00251587,1.597931,0.000000,7,0.316531,0.123590,,,87.024722,135.504811,0.642226,0.000000
20,20.000,0.051810,0.148830,0.665467,0.072148,0.040408,0.021337,6.217219,17.859561,79.856066,8.657742,4.848928,2.560483,1.001375,0.000000,0.027542,1.000000,0.02754167,1.600426,0.000000,7,0.316900,0.121240,,,81.470363,135.487093,0.601315,0.000000
21,21.000,0.052352,0.149488,0.664667,0.071594,0.040215,0.021683,6.282254,17.938612,79.760086,8.591319,4.825824,2.601905,1.048603,0.000000,0.043995,1.000000,0.04399455,1.602991,0.000000,7,0.317255,0.118948,,,84.597361,135.469657,0.624475,0.000000
22,22.000,0.052897,0.150145,0.663844,0.071042,0.040037,0.022034,6.347689,18.017439,79.661321,8.525029,4.804452,2.644071,0.981808,0.000000,0.064734,1.000000,0.06473415,1.605629,0.000000,7,0.317594,0.116713,,,91.014474,135.452506,0.671929,0.000000
23,23.000,0.053446,0.150800,0.662998,0.070491,0.039874,0.022392,6.413522,18.096033,79.559752,8.458877,4.784831,2.686985,1.025708,0.000000,0.041726,1.000000,0.04172581,1.608338,0.000000,7,0.317918,0.114537,,,84.299857,135.435645,0.622435,0.000000
24,24.000,0.053998,0.151453,0.662128,0.069941,0.039725,0.022755,6.479751,18.174388,79.455363,8.392871,4.766977,2.730650,0.990845,0.000000,0.035084,1.000000,0.03508420,1.611120,0.000000,7,0.318227,0.112421,,,87.596455,135.419077,0.646855,0.000000
25,25.000,0.054553,0.152104,0.661234,0.069392,0.039591,0.023126,6.546375,18.252493,79.348135,8.327017,4.750911,2.775070,0.991047,0.000000,0.001261,1.000000,0.00126055,1.613975,0.000000,7,0.318520,0.110364,,,85.487112,135.402807,0.631354,0.000000
26,26.000,0.055112,0.152753,0.660317,0.068844,0.039472,0.023502,6.613391,18.330339,79.238051,8.261323,4.736648,2.820247,0.981209,0.000000,0.011077,1.000000,0.01107676,1.616903,0.000000,7,0.318798,0.108368,,,83.644668,135.386839,0.617820,0.000000
