NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-55877c748c-mqmq8   1/1     Running   0          13s   192.168.65.48     emu-worker-1   <none>           <none>
cache-58c94bf84c-fmt8n        1/1     Running   0          13s   192.168.222.40    emu-worker-7   <none>           <none>
expert-0-7985f6d469-l6jj2     1/1     Running   0          13s   192.168.65.47     emu-worker-1   <none>           <none>
expert-1-66b4c4f79c-l6dzs     1/1     Running   0          12s   192.168.65.42     emu-worker-1   <none>           <none>
expert-2-75c5d96787-kdcsr     1/1     Running   0          12s   192.168.137.216   emu-worker-2   <none>           <none>
expert-3-8bb6d94c9-9hs5h      1/1     Running   0          10s   192.168.135.117   emu-worker-4   <none>           <none>
expert-4-5ccdc55895-jr9zr     1/1     Running   0          10s   192.168.99.231    emu-worker-6   <none>           <none>
expert-5-69f594747f-zn5vx     1/1     Running   0          9s    192.168.71.82     emu-worker-9   <none>           <none>
frontend-6699859f77-r4qgn     1/1     Running   0          13s   192.168.65.52     emu-worker-1   <none>           <none>
router-7d589868f5-x8k67       1/1     Running   0          13s   192.168.65.49     emu-worker-1   <none>           <none>
tokenizer-6cc6c9c4f9-zcndf    1/1     Running   0          13s   192.168.65.51     emu-worker-1   <none>           <none>
