NAME                         READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-8874c879-hg8q2    1/1     Running   0          9s    192.168.65.35     emu-worker-1    <none>           <none>
cache-5d4979b89-jp6n8        1/1     Running   0          9s    192.168.99.230    emu-worker-6    <none>           <none>
expert-0-9d95cfdf7-6rsp5     1/1     Running   0          8s    192.168.65.40     emu-worker-1    <none>           <none>
expert-1-5fb9b45d89-8gkml    1/1     Running   0          8s    192.168.65.41     emu-worker-1    <none>           <none>
expert-2-7cd74899c-4fm69     1/1     Running   0          8s    192.168.82.215    emu-worker-10   <none>           <none>
expert-3-5b66db7bf7-9r686    1/1     Running   0          8s    192.168.135.116   emu-worker-4    <none>           <none>
expert-4-766cbc68c7-t2ntm    1/1     Running   0          7s    192.168.71.81     emu-worker-9    <none>           <none>
expert-5-66d97b9877-tg6gn    1/1     Running   0          7s    192.168.42.102    emu-worker-3    <none>           <none>
frontend-78b5f48669-x2qpf    1/1     Running   0          9s    192.168.65.38     emu-worker-1    <none>           <none>
router-754bdfdc75-cwcjs      1/1     Running   0          9s    192.168.65.44     emu-worker-1    <none>           <none>
tokenizer-54949b6f95-kxvwc   1/1     Running   0          9s    192.168.65.43     emu-worker-1    <none>           <none>
