request_id,status,latency_ms,experts,hot_expert,expert_popularity,cache_key,error
0,200,57.950076,"3,2",1,0.054645;0.573770;0.207650;0.054645;0.054645;0.054645,prompt-0,
1,200,45.979477,"2,4",2,0.054645;0.054645;0.573770;0.207650;0.054645;0.054645,prompt-1,
2,200,47.044922,"5,4",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-2,
3,200,42.525093,"3,4",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-3,
4,200,43.445817,"4,0",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-4,
5,200,42.763691,"5,2",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-5,
6,200,42.488014,"5,3",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-6,
7,200,40.716305,"3,0",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-7,
8,200,42.839244,"4,5",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-8,
9,200,43.842382,"4,2",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-9,
10,200,41.503068,"4,3",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-10,
11,200,42.362626,"4,5",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-11,
12,200,42.444490,"4,5",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-12,
13,200,41.538743,"1,5",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-13,
14,200,45.191433,"0,5",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-14,
15,200,41.199054,"5,0",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-15,
16,200,41.227739,"4,3",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-16,
17,200,41.075151,"3,4",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-17,
18,200,42.823625,"3,4",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-18,
19,200,41.289024,"2,4",2,0.054645;0.054645;0.573770;0.207650;0.054645;0.054645,prompt-19,
20,200,40.803982,"5,0",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-20,
21,200,40.726996,"4,1",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-21,
22,200,41.784086,"4,5",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-22,
23,200,41.411074,"4,3",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-23,
24,200,41.808743,"4,0",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-24,
25,200,40.952451,"0,5",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-25,
26,200,40.251000,"0,5",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-26,
27,200,41.599920,"1,2",1,0.054645;0.573770;0.207650;0.054645;0.054645;0.054645,prompt-27,
28,200,42.142161,"5,4",1,0.054645;0.573770;0.207650;0.054645;0.054645;0.054645,prompt-28,
29,200,40.449112,"0,1",0,0.573770;0.207650;0.054645;0.054645;0.054645;0.054645,prompt-29,
30,200,43.314427,"4,3",1,0.054645;0.573770;0.207650;0.054645;0.054645;0.054645,prompt-30,
31,200,40.526368,"0,3",0,0.573770;0.207650;0.054645;0.054645;0.054645;0.054645,prompt-31,
32,200,42.187086,"5,3",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-32,
33,200,40.016007,"0,1",0,0.573770;0.207650;0.054645;0.054645;0.054645;0.054645,prompt-33,
34,200,42.124617,"2,5",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-34,
35,200,44.063508,"5,0",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-35,
36,200,41.099268,"4,3",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-36,
37,200,44.605750,"5,3",5,0.207650;0.054645;0.054645;0.054645;0.054645;0.573770,prompt-37,
38,200,41.532003,"5,4",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-38,
39,200,40.508875,"4,0",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-39,
40,200,40.593585,"3,4",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-40,
41,200,41.036127,"4,0",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-41,
42,200,41.191601,"4,1",4,0.054645;0.054645;0.054645;0.054645;0.573770;0.207650,prompt-42,
43,200,40.561705,"1,3",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-43,
44,200,40.496262,"3,1",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-44,
45,200,41.923610,"4,3",3,0.054645;0.054645;0.054645;0.573770;0.207650;0.054645,prompt-45,
46,200,41.543263,"3,2",2,0.054645;0.054645;0.573770;0.207650;0.054645;0.054645,prompt-46,
47,200,40.703802,"1,3",1,0.054645;0.573770;0.207650;0.054645;0.054645;0.054645,prompt-47,
