NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-7c5685c4b5-s9kvn   1/1     Running   0          9s    192.168.65.33     emu-worker-1    <none>           <none>
cache-57c8b9f949-9k6lt        1/1     Running   0          9s    192.168.65.39     emu-worker-1    <none>           <none>
expert-0-55d79fb889-htxd5     1/1     Running   0          9s    192.168.65.37     emu-worker-1    <none>           <none>
expert-1-7f6456cb85-nk49c     1/1     Running   0          9s    192.168.65.31     emu-worker-1    <none>           <none>
expert-2-56c5956796-8hrpx     1/1     Running   0          9s    192.168.82.213    emu-worker-10   <none>           <none>
expert-3-dff4f8f4d-5j952      1/1     Running   0          9s    192.168.42.101    emu-worker-3    <none>           <none>
expert-4-644f8bc956-gjmcg     1/1     Running   0          9s    192.168.173.162   emu-worker-8    <none>           <none>
expert-5-869cd86bb4-kvvg5     1/1     Running   0          9s    192.168.137.222   emu-worker-2    <none>           <none>
frontend-6877964d55-v8nb8     1/1     Running   0          10s   192.168.65.22     emu-worker-1    <none>           <none>
router-56f8f797df-dkm8x       1/1     Running   0          9s    192.168.65.30     emu-worker-1    <none>           <none>
tokenizer-d6fdf954c-5f9hd     1/1     Running   0          10s   192.168.65.36     emu-worker-1    <none>           <none>
