NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-85c67b5988-pwll8   1/1     Running   0          9s    192.168.65.23     emu-worker-1    <none>           <none>
cache-58d5b8499b-tjdmk        1/1     Running   0          9s    192.168.82.212    emu-worker-10   <none>           <none>
expert-0-75bcc69468-2b4sp     1/1     Running   0          9s    192.168.173.165   emu-worker-8    <none>           <none>
expert-1-764fcdb44-vzj5c      1/1     Running   0          9s    192.168.137.213   emu-worker-2    <none>           <none>
expert-2-bcc56b4f6-4s79v      1/1     Running   0          9s    192.168.99.223    emu-worker-6    <none>           <none>
expert-3-56df7cbc9b-5h6lw     1/1     Running   0          8s    192.168.173.164   emu-worker-8    <none>           <none>
expert-4-69df587564-k5qmj     1/1     Running   0          8s    192.168.65.26     emu-worker-1    <none>           <none>
expert-5-76bb8fc48-zz98p      1/1     Running   0          8s    192.168.135.113   emu-worker-4    <none>           <none>
frontend-5467466f58-5dhzm     1/1     Running   0          10s   192.168.137.217   emu-worker-2    <none>           <none>
router-5d4786bd5b-8xqr2       1/1     Running   0          9s    192.168.137.220   emu-worker-2    <none>           <none>
tokenizer-9fbc775d6-b49cr     1/1     Running   0          9s    192.168.42.99     emu-worker-3    <none>           <none>
