metric,value
mean_edge_jaccard_distance,0.01925541
mean_weighted_edge_distance,0.04910597
mean_hot_edge_rank_correlation,0.99464048
mean_graph_change_rate_per_s,0.00982119
mean_request_mix_entropy,1.18129100
mean_top3_hotspot_churn,0.00400802
mean_active_edge_count,13.30000000
mean_traffic_stress_gini,0.40595828
mean_traffic_stress_skew,1.08826011
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.25173851
latency_sla_pressure_correlation,0.63586546
traffic_stress_latency_correlation,-0.08584909
kubernetes-default_mean_latency_ms,104.37526978
kubernetes-default_mean_sla_violation_ratio,0.00010057
kubernetes-default_mean_request_mix_entropy,1.18129100
cga_mean_latency_ms,98.14270066
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.18129100
hda_mean_latency_ms,94.00864009
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.18129100
