step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.969300,0.000000,0.000000,1.000000,0.00000000,1.827785,0.000000,10,0.476110,0.462632,,,62.326702,110.555556,0.563759,0.000000
1,0.100,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.969753,0.000000,0.000467,1.000000,0.00467271,1.827785,0.000000,10,0.476110,0.462632,,,66.731887,110.555556,0.603605,0.000000
2,0.200,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.965329,0.000000,0.004561,1.000000,0.04561287,1.827785,0.000000,10,0.476110,0.462632,,,64.866618,110.555556,0.586733,0.000000
3,0.300,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,1.003365,0.000000,0.037908,1.000000,0.37907999,1.827785,0.000000,10,0.476110,0.462632,,,65.244595,110.555556,0.590152,0.000000
4,0.400,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.973969,0.000000,0.029298,1.000000,0.29297658,1.827785,0.000000,10,0.476110,0.462632,,,62.992643,110.555556,0.569783,0.000000
5,0.500,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.688889,0.038889,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,62.000000,3.500000,0.950293,0.200000,0.202411,0.893621,2.02411057,1.827785,0.500000,8,0.399782,0.056411,,,85.691288,123.555556,0.693545,0.000000
6,0.600,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,1.004494,0.200000,0.226649,0.893621,2.26648832,1.827785,0.500000,10,0.476110,0.462632,,,74.834117,110.555556,0.676892,0.000000
7,0.700,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.949689,0.100000,0.067801,1.000000,0.67801095,1.827785,0.000000,9,0.439619,0.293469,,,69.838841,110.555556,0.631708,0.000000
8,0.800,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,1.048635,0.272727,0.584330,0.100228,5.84330088,1.827785,0.800000,10,0.372545,0.421327,,,79.323348,100.805556,0.786895,0.000000
9,0.900,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,1.023562,0.000000,0.023910,1.000000,0.23909918,1.827785,0.000000,10,0.372545,0.421327,,,54.412631,100.805556,0.539778,0.000000
