policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,62.326702,110.555556,0.563759,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,62.701435,110.555556,0.567149,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,58.315248,110.555556,0.527475,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,59.284526,110.555556,0.536242,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,55.131901,110.555556,0.498681,0.000000
kubernetes-default,K8s default,1,0.100,replay,0.969753,0.000467,10,1.827785,0.000000,0.476110,0.462632,,,66.731887,110.555556,0.603605,0.000000
cga,CGA,1,0.100,replay,0.969753,0.000467,10,1.827785,0.000000,0.476110,0.462632,,,59.677031,110.555556,0.539792,0.000000
hda,HDA,1,0.100,replay,0.969753,0.000467,10,1.827785,0.000000,0.476110,0.462632,,,58.964921,110.555556,0.533351,0.000000
policy2,Policy 2,1,0.100,replay,0.969753,0.000467,10,1.827785,0.000000,0.476110,0.462632,,,58.639900,110.555556,0.530411,0.000000
policy3,Policy 3,1,0.100,replay,0.969753,0.000467,10,1.827785,0.000000,0.476110,0.462632,,,57.724671,110.555556,0.522133,0.000000
kubernetes-default,K8s default,2,0.200,replay,0.965329,0.004561,10,1.827785,0.000000,0.476110,0.462632,,,64.866618,110.555556,0.586733,0.000000
cga,CGA,2,0.200,replay,0.965329,0.004561,10,1.827785,0.000000,0.476110,0.462632,,,59.919706,110.555556,0.541987,0.000000
hda,HDA,2,0.200,replay,0.965329,0.004561,10,1.827785,0.000000,0.476110,0.462632,,,62.651958,110.555556,0.566701,0.000000
policy2,Policy 2,2,0.200,replay,0.965329,0.004561,10,1.827785,0.000000,0.476110,0.462632,,,57.239352,110.555556,0.517743,0.000000
policy3,Policy 3,2,0.200,replay,0.965329,0.004561,10,1.827785,0.000000,0.476110,0.462632,,,57.234289,110.555556,0.517697,0.000000
kubernetes-default,K8s default,3,0.300,replay,1.003365,0.037908,10,1.827785,0.000000,0.476110,0.462632,,,65.244595,110.555556,0.590152,0.000000
cga,CGA,3,0.300,replay,1.003365,0.037908,10,1.827785,0.000000,0.476110,0.462632,,,60.473020,110.555556,0.546992,0.000000
hda,HDA,3,0.300,replay,1.003365,0.037908,10,1.827785,0.000000,0.476110,0.462632,,,59.413573,110.555556,0.537409,0.000000
policy2,Policy 2,3,0.300,replay,1.003365,0.037908,10,1.827785,0.000000,0.476110,0.462632,,,63.478042,110.555556,0.574173,0.000000
policy3,Policy 3,3,0.300,replay,1.003365,0.037908,10,1.827785,0.000000,0.476110,0.462632,,,58.218743,110.555556,0.526602,0.000000
kubernetes-default,K8s default,4,0.400,replay,0.973969,0.029298,10,1.827785,0.000000,0.476110,0.462632,,,62.992643,110.555556,0.569783,0.000000
cga,CGA,4,0.400,replay,0.973969,0.029298,10,1.827785,0.000000,0.476110,0.462632,,,57.953538,110.555556,0.524203,0.000000
hda,HDA,4,0.400,replay,0.973969,0.029298,10,1.827785,0.000000,0.476110,0.462632,,,52.925239,110.555556,0.478721,0.000000
policy2,Policy 2,4,0.400,replay,0.973969,0.029298,10,1.827785,0.000000,0.476110,0.462632,,,61.337227,110.555556,0.554809,0.000000
policy3,Policy 3,4,0.400,replay,0.973969,0.029298,10,1.827785,0.000000,0.476110,0.462632,,,64.614039,110.555556,0.584449,0.000000
kubernetes-default,K8s default,5,0.500,replay,0.950293,0.202411,8,1.827785,0.500000,0.399782,0.056411,,,85.691288,123.555556,0.693545,0.000000
cga,CGA,5,0.500,replay,0.950293,0.202411,8,1.827785,0.500000,0.399782,0.056411,,,78.594978,123.555556,0.636110,0.000000
hda,HDA,5,0.500,replay,0.950293,0.202411,8,1.827785,0.500000,0.399782,0.056411,,,70.255998,123.555556,0.568619,0.000000
policy2,Policy 2,5,0.500,replay,0.950293,0.202411,8,1.827785,0.500000,0.399782,0.056411,,,78.090085,123.555556,0.632024,0.000000
policy3,Policy 3,5,0.500,replay,0.950293,0.202411,8,1.827785,0.500000,0.399782,0.056411,,,72.489690,123.555556,0.586697,0.000000
kubernetes-default,K8s default,6,0.600,replay,1.004494,0.226649,10,1.827785,0.500000,0.476110,0.462632,,,74.834117,110.555556,0.676892,0.000000
cga,CGA,6,0.600,replay,1.004494,0.226649,10,1.827785,0.500000,0.476110,0.462632,,,66.609729,110.555556,0.602500,0.000000
hda,HDA,6,0.600,replay,1.004494,0.226649,10,1.827785,0.500000,0.476110,0.462632,,,70.934538,110.555556,0.641619,0.000000
policy2,Policy 2,6,0.600,replay,1.004494,0.226649,10,1.827785,0.500000,0.476110,0.462632,,,72.187955,110.555556,0.652956,0.000000
policy3,Policy 3,6,0.600,replay,1.004494,0.226649,10,1.827785,0.500000,0.476110,0.462632,,,67.165410,110.555556,0.607526,0.000000
kubernetes-default,K8s default,7,0.700,replay,0.949689,0.067801,9,1.827785,0.000000,0.439619,0.293469,,,69.838841,110.555556,0.631708,0.000000
cga,CGA,7,0.700,replay,0.949689,0.067801,9,1.827785,0.000000,0.439619,0.293469,,,62.050949,110.555556,0.561265,0.000000
hda,HDA,7,0.700,replay,0.949689,0.067801,9,1.827785,0.000000,0.439619,0.293469,,,59.384799,110.555556,0.537149,0.000000
policy2,Policy 2,7,0.700,replay,0.949689,0.067801,9,1.827785,0.000000,0.439619,0.293469,,,61.587900,110.555556,0.557076,0.000000
policy3,Policy 3,7,0.700,replay,0.949689,0.067801,9,1.827785,0.000000,0.439619,0.293469,,,60.583859,110.555556,0.547995,0.000000
kubernetes-default,K8s default,8,0.800,replay,1.048635,0.584330,10,1.827785,0.800000,0.372545,0.421327,,,79.323348,100.805556,0.786895,0.000000
cga,CGA,8,0.800,replay,1.048635,0.584330,10,1.827785,0.800000,0.372545,0.421327,,,78.405484,100.805556,0.777789,0.000000
hda,HDA,8,0.800,replay,1.048635,0.584330,10,1.827785,0.800000,0.372545,0.421327,,,75.405813,100.805556,0.748032,0.000000
policy2,Policy 2,8,0.800,replay,1.048635,0.584330,10,1.827785,0.800000,0.372545,0.421327,,,75.281030,100.805556,0.746794,0.000000
policy3,Policy 3,8,0.800,replay,1.048635,0.584330,10,1.827785,0.800000,0.372545,0.421327,,,69.550435,100.805556,0.689946,0.000000
kubernetes-default,K8s default,9,0.900,replay,1.023562,0.023910,10,1.827785,0.000000,0.372545,0.421327,,,54.412631,100.805556,0.539778,0.000000
cga,CGA,9,0.900,replay,1.023562,0.023910,10,1.827785,0.000000,0.372545,0.421327,,,50.645475,100.805556,0.502408,0.000000
hda,HDA,9,0.900,replay,1.023562,0.023910,10,1.827785,0.000000,0.372545,0.421327,,,52.003670,100.805556,0.515881,0.000000
policy2,Policy 2,9,0.900,replay,1.023562,0.023910,10,1.827785,0.000000,0.372545,0.421327,,,55.365306,100.805556,0.549229,0.000000
