run_id,experiment_type,policy,metric,value,unit,source_file,source_column,status,notes
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,latency_p50_ms,28.047152,ms,raw/moe_expert_skew_timeseries.csv,default_latency_ms,measured,
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,latency_p95_ms,29.441313,ms,raw/moe_expert_skew_timeseries.csv,default_latency_ms,measured,
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,latency_p99_ms,29.792847,ms,raw/moe_expert_skew_timeseries.csv,default_latency_ms,measured,
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,throughput_rps,48.0,requests/s,raw/moe_expert_skew_timeseries.csv,step,measured,"modeled intervals, not live rps"
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,sla_violations,,count,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,sla_violation_rate,,ratio,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,scheduler_decision_time_ms,,ms,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,gda_build_time_ms,,ms,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,migration_count,,count,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,kubernetes-default,network_target_vs_measured_error,,unitless,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,latency_p50_ms,26.645172,ms,raw/moe_expert_skew_timeseries.csv,idynamics_latency_ms,measured,
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,latency_p95_ms,28.268239,ms,raw/moe_expert_skew_timeseries.csv,idynamics_latency_ms,measured,
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,latency_p99_ms,29.941075,ms,raw/moe_expert_skew_timeseries.csv,idynamics_latency_ms,measured,
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,throughput_rps,48.0,requests/s,raw/moe_expert_skew_timeseries.csv,step,measured,"modeled intervals, not live rps"
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,sla_violations,,count,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,sla_violation_rate,,ratio,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,scheduler_decision_time_ms,,ms,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,gda_build_time_ms,,ms,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,migration_count,,count,,,unavailable,metric not emitted by this run type
moe-serving-20260521T112045Z,moe_serving_control_plane,idynamics-hot-path,network_target_vs_measured_error,,unitless,,,unavailable,metric not emitted by this run type
