run_id,metric,unit,idynamics-hot-path,kubernetes-default,sources
moe-serving-20260521T112045Z,latency_p50_ms,ms,26.645,28.047,idynamics-hot-path:raw/moe_expert_skew_timeseries.csv#idynamics_latency_ms; kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms
moe-serving-20260521T112045Z,latency_p95_ms,ms,28.268,29.441,idynamics-hot-path:raw/moe_expert_skew_timeseries.csv#idynamics_latency_ms; kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms
moe-serving-20260521T112045Z,latency_p99_ms,ms,29.941,29.793,idynamics-hot-path:raw/moe_expert_skew_timeseries.csv#idynamics_latency_ms; kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms
moe-serving-20260521T112045Z,throughput_rps,requests/s,48.000,48.000,idynamics-hot-path:raw/moe_expert_skew_timeseries.csv#step; kubernetes-default:raw/moe_expert_skew_timeseries.csv#step
moe-serving-20260521T112045Z,sla_violations,count,n/a,n/a,
moe-serving-20260521T112045Z,sla_violation_rate,ratio,n/a,n/a,
moe-serving-20260521T112045Z,scheduler_decision_time_ms,ms,n/a,n/a,
moe-serving-20260521T112045Z,gda_build_time_ms,ms,n/a,n/a,
moe-serving-20260521T112045Z,ndm_injection_time_ms,ms,n/a,n/a,
moe-serving-20260521T112045Z,cpu_overhead_pct,percent,n/a,n/a,
moe-serving-20260521T112045Z,memory_overhead_mb,MiB,n/a,n/a,
moe-serving-20260521T112045Z,migration_count,count,n/a,n/a,
moe-serving-20260521T112045Z,network_target_vs_measured_error,unitless,n/a,n/a,
