service_count,active_edges,legacy_prometheus_queries,sparse_prometheus_queries,dense_seconds_median,sparse_seconds_median,dense_to_sparse_cpu_ratio,query_reduction_ratio
27,108,1404,2,5.790800787508488e-05,0.0001254259841516614,0.4616906797005015,702.0
50,200,4900,2,0.00019416504073888063,0.00023965100990608335,0.8101991342117516,2450.0
100,400,19800,2,0.0007062709773890674,0.0004634929937310517,1.5238007627767747,9900.0
200,800,79600,2,0.0028966940008103848,0.0009643859812058508,3.0036666410148465,39800.0
500,2000,499000,2,0.016755492019001395,0.002561323984991759,6.541730806872253,249500.0
1000,4000,1998000,2,0.07768313499400392,0.005390840990003198,14.410207078646895,999000.0
