run_id,metric,unit,dense-pair-scan,sparse-gda,sources
gda-overhead-synth-20260521T080500Z,latency_p50_ms,ms,n/a,n/a,
gda-overhead-synth-20260521T080500Z,latency_p95_ms,ms,n/a,n/a,
gda-overhead-synth-20260521T080500Z,latency_p99_ms,ms,n/a,n/a,
gda-overhead-synth-20260521T080500Z,throughput_rps,requests/s,n/a,n/a,
gda-overhead-synth-20260521T080500Z,sla_violations,count,n/a,n/a,
gda-overhead-synth-20260521T080500Z,sla_violation_rate,ratio,n/a,n/a,
gda-overhead-synth-20260521T080500Z,scheduler_decision_time_ms,ms,n/a,n/a,
gda-overhead-synth-20260521T080500Z,gda_build_time_ms,ms,0.7396,0.5811,dense-pair-scan:raw/gda_overhead_repetitions.csv#dense_seconds; sparse-gda:raw/gda_overhead_repetitions.csv#sparse_seconds
gda-overhead-synth-20260521T080500Z,ndm_injection_time_ms,ms,n/a,n/a,
gda-overhead-synth-20260521T080500Z,cpu_overhead_pct,percent,n/a,n/a,
gda-overhead-synth-20260521T080500Z,memory_overhead_mb,MiB,n/a,n/a,
gda-overhead-synth-20260521T080500Z,migration_count,count,n/a,n/a,
gda-overhead-synth-20260521T080500Z,network_target_vs_measured_error,unitless,n/a,n/a,
