request_id,endpoint,status,latency_ms,bytes,error
0,/wrk2-api/post/compose,200,58.27653896994889,94,
1,/wrk2-api/home-timeline/read,200,22.94650103431195,101,
2,/wrk2-api/user-timeline/read,200,18.457549973390996,100,
3,/wrk2-api/post/compose,200,56.42746505327523,95,
4,/wrk2-api/home-timeline/read,200,21.989730885252357,101,
5,/wrk2-api/user-timeline/read,200,15.546518960036337,100,
6,/wrk2-api/post/compose,200,55.053238989785314,95,
7,/wrk2-api/home-timeline/read,200,19.716901006177068,101,
8,/wrk2-api/user-timeline/read,200,14.944477006793022,100,
9,/wrk2-api/post/compose,200,91.07206191401929,94,
10,/wrk2-api/home-timeline/read,200,17.514004022814333,101,
11,/wrk2-api/user-timeline/read,200,14.63576394598931,100,
12,/wrk2-api/post/compose,200,88.84277299512178,92,
13,/wrk2-api/home-timeline/read,200,16.702687018550932,101,
14,/wrk2-api/user-timeline/read,200,11.903921025805175,101,
15,/wrk2-api/post/compose,200,88.72512297239155,94,
16,/wrk2-api/home-timeline/read,200,63.1101579638198,100,
17,/wrk2-api/user-timeline/read,200,61.73692306037992,100,
18,/wrk2-api/post/compose,200,87.84514595754445,94,
19,/wrk2-api/home-timeline/read,200,63.969866023398936,101,
20,/wrk2-api/user-timeline/read,200,59.540266054682434,101,
21,/wrk2-api/post/compose,200,99.44920393172652,94,
22,/wrk2-api/home-timeline/read,200,21.02989295963198,101,
23,/wrk2-api/user-timeline/read,200,15.448946971446276,98,
24,/wrk2-api/post/compose,200,99.94783205911517,94,
25,/wrk2-api/home-timeline/read,200,19.149041967466474,101,
26,/wrk2-api/user-timeline/read,200,15.739341964945197,101,
27,/wrk2-api/post/compose,200,99.2339380318299,94,
28,/wrk2-api/home-timeline/read,200,16.826068051159382,101,
29,/wrk2-api/user-timeline/read,200,14.526590006425977,100,
30,/wrk2-api/post/compose,200,95.16002796590328,94,
31,/wrk2-api/home-timeline/read,200,75.32255095429718,100,
32,/wrk2-api/user-timeline/read,200,66.03989296127111,100,
33,/wrk2-api/post/compose,200,94.53853801824152,94,
34,/wrk2-api/home-timeline/read,200,70.43229299597442,100,
35,/wrk2-api/user-timeline/read,200,15.325071988627315,100,
36,/wrk2-api/post/compose,200,106.52158793527633,93,
37,/wrk2-api/home-timeline/read,200,20.5781739205122,101,
38,/wrk2-api/user-timeline/read,200,14.995070989243686,100,
39,/wrk2-api/post/compose,200,98.80407899618149,94,
40,/wrk2-api/home-timeline/read,200,18.26589892152697,101,
41,/wrk2-api/user-timeline/read,200,13.630363042466342,100,
42,/wrk2-api/post/compose,200,101.08045407105237,94,
43,/wrk2-api/home-timeline/read,200,77.40501093212515,100,
44,/wrk2-api/user-timeline/read,200,13.937549898400903,100,
45,/wrk2-api/post/compose,200,94.14891409687698,94,
46,/wrk2-api/home-timeline/read,200,73.97128699813038,100,
47,/wrk2-api/user-timeline/read,200,73.61142907757312,100,
48,/wrk2-api/post/compose,200,102.71621402353048,94,
49,/wrk2-api/home-timeline/read,200,20.6984180258587,101,
50,/wrk2-api/user-timeline/read,200,15.839862055145204,100,
51,/wrk2-api/post/compose,200,40.57781596202403,95,
52,/wrk2-api/home-timeline/read,200,18.943103961646557,101,
53,/wrk2-api/user-timeline/read,200,13.692658976651728,100,
54,/wrk2-api/post/compose,200,83.09980295598507,93,
55,/wrk2-api/home-timeline/read,200,20.921839983202517,101,
56,/wrk2-api/user-timeline/read,200,15.1325500337407,99,
57,/wrk2-api/post/compose,200,39.60308094974607,94,
58,/wrk2-api/home-timeline/read,200,16.47790300194174,101,
59,/wrk2-api/user-timeline/read,200,12.416846002452075,100,
