run_id,experiment_type,policy,metric,value,unit,source_file,source_column,status,notes
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,latency_p50_ms,39.009038,ms,processed/physical_moe_metrics.json,p50_latency_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,latency_p95_ms,41.754919,ms,processed/physical_moe_metrics.json,p95_latency_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,latency_p99_ms,44.257549,ms,processed/physical_moe_metrics.json,p99_latency_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,throughput_rps,7.905920009353921,requests/s,processed/physical_moe_metrics.json,throughput_rps,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,sla_violations,0.0,count,processed/physical_moe_metrics.json,sla_violations,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,sla_violation_rate,0.0,ratio,processed/physical_moe_metrics.json,sla_violations/requests,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,scheduler_decision_time_ms,8514.261202013586,ms,processed/physical_moe_metrics.json,scheduler_ready_s,measured,apply-to-Available time
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,gda_build_time_ms,0.005770998541265726,ms,processed/physical_moe_metrics.json,gda_build_time_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,migration_count,9.0,count,processed/physical_moe_metrics.json,migration_count,measured,
physical-moe-size5-20260521T112541Z,physical_moe,idynamics-policy1-callgraph-aware,network_target_vs_measured_error,,unitless,processed/physical_moe_metrics.json,network_target_vs_measured_error,not_applicable,null means live tc was not applied
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,latency_p50_ms,41.005908,ms,processed/physical_moe_metrics.json,p50_latency_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,latency_p95_ms,43.650526,ms,processed/physical_moe_metrics.json,p95_latency_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,latency_p99_ms,45.656563,ms,processed/physical_moe_metrics.json,p99_latency_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,throughput_rps,7.908540968305519,requests/s,processed/physical_moe_metrics.json,throughput_rps,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,sla_violations,0.0,count,processed/physical_moe_metrics.json,sla_violations,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,sla_violation_rate,0.0,ratio,processed/physical_moe_metrics.json,sla_violations/requests,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,scheduler_decision_time_ms,17669.494080997538,ms,processed/physical_moe_metrics.json,scheduler_ready_s,measured,apply-to-Available time
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,gda_build_time_ms,0.010419986210763454,ms,processed/physical_moe_metrics.json,gda_build_time_ms,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,ndm_injection_time_ms,,ms,,,unavailable,metric not emitted by this run type
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,cpu_overhead_pct,,percent,,,unavailable,metric not emitted by this run type
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,memory_overhead_mb,,MiB,,,unavailable,metric not emitted by this run type
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,migration_count,0.0,count,processed/physical_moe_metrics.json,migration_count,measured,
physical-moe-size5-20260521T112541Z,physical_moe,kubernetes-default,network_target_vs_measured_error,,unitless,processed/physical_moe_metrics.json,network_target_vs_measured_error,not_applicable,null means live tc was not applied
