run_id,metric,unit,idynamics-policy1-callgraph-aware,kubernetes-default,sources
physical-moe-size5-20260521T112541Z,latency_p50_ms,ms,39.009,41.006,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#p50_latency_ms; kubernetes-default:processed/physical_moe_metrics.json#p50_latency_ms
physical-moe-size5-20260521T112541Z,latency_p95_ms,ms,41.755,43.651,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#p95_latency_ms; kubernetes-default:processed/physical_moe_metrics.json#p95_latency_ms
physical-moe-size5-20260521T112541Z,latency_p99_ms,ms,44.258,45.657,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#p99_latency_ms; kubernetes-default:processed/physical_moe_metrics.json#p99_latency_ms
physical-moe-size5-20260521T112541Z,throughput_rps,requests/s,7.9059,7.9085,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#throughput_rps; kubernetes-default:processed/physical_moe_metrics.json#throughput_rps
physical-moe-size5-20260521T112541Z,sla_violations,count,0.0000,0.0000,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#sla_violations; kubernetes-default:processed/physical_moe_metrics.json#sla_violations
physical-moe-size5-20260521T112541Z,sla_violation_rate,ratio,0.0000,0.0000,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#sla_violations/requests; kubernetes-default:processed/physical_moe_metrics.json#sla_violations/requests
physical-moe-size5-20260521T112541Z,scheduler_decision_time_ms,ms,8514.26,17669.49,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#scheduler_ready_s; kubernetes-default:processed/physical_moe_metrics.json#scheduler_ready_s
physical-moe-size5-20260521T112541Z,gda_build_time_ms,ms,0.0058,0.0104,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#gda_build_time_ms; kubernetes-default:processed/physical_moe_metrics.json#gda_build_time_ms
physical-moe-size5-20260521T112541Z,ndm_injection_time_ms,ms,n/a,n/a,
physical-moe-size5-20260521T112541Z,cpu_overhead_pct,percent,n/a,n/a,
physical-moe-size5-20260521T112541Z,memory_overhead_mb,MiB,n/a,n/a,
physical-moe-size5-20260521T112541Z,migration_count,count,9.0000,0.0000,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#migration_count; kubernetes-default:processed/physical_moe_metrics.json#migration_count
physical-moe-size5-20260521T112541Z,network_target_vs_measured_error,unitless,n/a,n/a,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#network_target_vs_measured_error; kubernetes-default:processed/physical_moe_metrics.json#network_target_vs_measured_error
