run_id,metric,unit,idynamics-policy1-callgraph-aware,kubernetes-default,sources
physical-moe-size10-20260521T112823Z,latency_p50_ms,ms,38.003,39.638,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#p50_latency_ms; kubernetes-default:processed/physical_moe_metrics.json#p50_latency_ms
physical-moe-size10-20260521T112823Z,latency_p95_ms,ms,40.836,42.091,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#p95_latency_ms; kubernetes-default:processed/physical_moe_metrics.json#p95_latency_ms
physical-moe-size10-20260521T112823Z,latency_p99_ms,ms,42.920,44.101,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#p99_latency_ms; kubernetes-default:processed/physical_moe_metrics.json#p99_latency_ms
physical-moe-size10-20260521T112823Z,throughput_rps,requests/s,7.9111,7.9141,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#throughput_rps; kubernetes-default:processed/physical_moe_metrics.json#throughput_rps
physical-moe-size10-20260521T112823Z,sla_violations,count,0.0000,0.0000,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#sla_violations; kubernetes-default:processed/physical_moe_metrics.json#sla_violations
physical-moe-size10-20260521T112823Z,sla_violation_rate,ratio,0.0000,0.0000,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#sla_violations/requests; kubernetes-default:processed/physical_moe_metrics.json#sla_violations/requests
physical-moe-size10-20260521T112823Z,scheduler_decision_time_ms,ms,12491.49,21295.99,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#scheduler_ready_s; kubernetes-default:processed/physical_moe_metrics.json#scheduler_ready_s
physical-moe-size10-20260521T112823Z,gda_build_time_ms,ms,0.0070,0.0054,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#gda_build_time_ms; kubernetes-default:processed/physical_moe_metrics.json#gda_build_time_ms
physical-moe-size10-20260521T112823Z,ndm_injection_time_ms,ms,n/a,n/a,
physical-moe-size10-20260521T112823Z,cpu_overhead_pct,percent,n/a,n/a,
physical-moe-size10-20260521T112823Z,memory_overhead_mb,MiB,n/a,n/a,
physical-moe-size10-20260521T112823Z,migration_count,count,11.000,0.0000,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#migration_count; kubernetes-default:processed/physical_moe_metrics.json#migration_count
physical-moe-size10-20260521T112823Z,network_target_vs_measured_error,unitless,n/a,n/a,idynamics-policy1-callgraph-aware:processed/physical_moe_metrics.json#network_target_vs_measured_error; kubernetes-default:processed/physical_moe_metrics.json#network_target_vs_measured_error
