ts,status,latency_ms
2026-06-12T14:32:31.966733+00:00,200,10.191207751631737
2026-06-12T14:32:31.969921+00:00,200,3.163496032357216
2026-06-12T14:32:31.973221+00:00,200,3.2994206994771957
2026-06-12T14:32:31.979079+00:00,200,5.855263210833073
2026-06-12T14:32:31.981889+00:00,200,2.808698918670416
2026-06-12T14:32:31.984651+00:00,200,2.761106938123703
2026-06-12T14:32:31.987338+00:00,200,2.686438150703907
2026-06-12T14:32:31.990038+00:00,200,2.69699702039361
2026-06-12T14:32:31.992805+00:00,200,2.7649253606796265
2026-06-12T14:32:31.995597+00:00,200,2.789410762488842
2026-06-12T14:32:31.998382+00:00,200,2.785764168947935
2026-06-12T14:32:32.003921+00:00,200,5.536623299121857
2026-06-12T14:32:32.006901+00:00,200,2.9803412035107613
2026-06-12T14:32:32.009946+00:00,200,3.041104879230261
2026-06-12T14:32:32.012677+00:00,200,2.7302810922265053
2026-06-12T14:32:32.015344+00:00,200,2.665939275175333
2026-06-12T14:32:32.018235+00:00,200,2.888347953557968
2026-06-12T14:32:32.020898+00:00,200,2.6611988432705402
2026-06-12T14:32:32.023596+00:00,200,2.6967767626047134
2026-06-12T14:32:32.026324+00:00,200,2.724277786910534
2026-06-12T14:32:32.029197+00:00,200,2.8736903332173824
2026-06-12T14:32:32.032028+00:00,200,2.8262902051210403
2026-06-12T14:32:32.035294+00:00,200,3.265427891165018
2026-06-12T14:32:32.039154+00:00,200,3.859344869852066
2026-06-12T14:32:32.042982+00:00,200,3.8274158723652363
2026-06-12T14:32:32.045725+00:00,200,2.738506067544222
2026-06-12T14:32:32.048430+00:00,200,2.7052131481468678
2026-06-12T14:32:32.051196+00:00,200,2.7636531740427017
2026-06-12T14:32:32.053929+00:00,200,2.729708794504404
2026-06-12T14:32:32.056560+00:00,200,2.6312139816582203
2026-06-12T14:32:32.059234+00:00,200,2.6720198802649975
2026-06-12T14:32:32.062587+00:00,200,3.3734296448528767
2026-06-12T14:32:32.066763+00:00,200,4.1494229808449745
2026-06-12T14:32:32.069794+00:00,200,3.026217222213745
2026-06-12T14:32:32.072617+00:00,200,2.8202789835631847
2026-06-12T14:32:32.075331+00:00,200,2.713950350880623
2026-06-12T14:32:32.078255+00:00,200,2.920738887041807
2026-06-12T14:32:32.080980+00:00,200,2.7227061800658703
2026-06-12T14:32:32.083898+00:00,200,2.9179430566728115
2026-06-12T14:32:32.086732+00:00,200,2.83069908618927
2026-06-12T14:32:32.089185+00:00,200,2.4505136534571648
2026-06-12T14:32:32.091766+00:00,200,2.5782128795981407
2026-06-12T14:32:32.094333+00:00,200,2.5680558755993843
2026-06-12T14:32:32.097119+00:00,200,2.7815867215394974
2026-06-12T14:32:32.099890+00:00,200,2.7736620977520943
2026-06-12T14:32:32.102749+00:00,200,2.853542100638151
2026-06-12T14:32:32.105536+00:00,200,2.7843117713928223
2026-06-12T14:32:32.108114+00:00,200,2.5771716609597206
2026-06-12T14:32:32.110794+00:00,200,2.6787337847054005
2026-06-12T14:32:32.113684+00:00,200,2.88558192551136
2026-06-12T14:32:32.116309+00:00,200,2.624320797622204
2026-06-12T14:32:32.119120+00:00,200,2.8099906630814075
