step,time_s,source,destination,weight
0,0.0,cartservice,redis-cart,11.249685
0,0.0,frontend,adservice,23.272013
0,0.0,frontend,cartservice,10.817005
0,0.0,frontend,currencyservice,41.614563
0,0.0,frontend,productcatalogservice,62.615005
0,0.0,frontend,recommendationservice,12.980406
0,0.0,recommendationservice,productcatalogservice,17.307208
1,1.0,cartservice,redis-cart,11.211152
1,1.0,frontend,adservice,23.192302
1,1.0,frontend,cartservice,10.779954
1,1.0,frontend,currencyservice,41.472024
1,1.0,frontend,productcatalogservice,62.400536
1,1.0,frontend,recommendationservice,12.935945
1,1.0,recommendationservice,productcatalogservice,17.247927
2,2.0,cartservice,redis-cart,11.174132
2,2.0,frontend,adservice,23.115718
2,2.0,frontend,cartservice,10.744358
2,2.0,frontend,currencyservice,41.335078
2,2.0,frontend,productcatalogservice,62.194481
2,2.0,frontend,recommendationservice,12.893229
2,2.0,recommendationservice,productcatalogservice,17.190972
3,3.0,cartservice,redis-cart,11.077060
3,3.0,frontend,adservice,22.914907
3,3.0,frontend,cartservice,10.651019
3,3.0,frontend,currencyservice,40.975993
3,3.0,frontend,productcatalogservice,61.654186
3,3.0,frontend,recommendationservice,12.781223
3,3.0,recommendationservice,productcatalogservice,17.041631
4,4.0,cartservice,redis-cart,11.471769
4,4.0,frontend,adservice,23.731434
4,4.0,frontend,cartservice,11.030547
4,4.0,frontend,currencyservice,42.436091
4,4.0,frontend,productcatalogservice,63.851110
4,4.0,frontend,recommendationservice,13.236657
4,4.0,recommendationservice,productcatalogservice,17.648875
5,5.0,cartservice,redis-cart,10.678735
5,5.0,frontend,adservice,32.960328
5,5.0,frontend,cartservice,10.268015
5,5.0,frontend,currencyservice,53.995090
5,5.0,frontend,productcatalogservice,95.668561
5,5.0,frontend,recommendationservice,55.799326
5,5.0,recommendationservice,productcatalogservice,74.399102
6,6.0,cartservice,redis-cart,10.877017
6,6.0,frontend,adservice,7.739416
6,6.0,frontend,cartservice,10.458670
6,6.0,frontend,currencyservice,91.901826
6,6.0,frontend,productcatalogservice,23.636594
6,6.0,frontend,recommendationservice,12.550404
6,6.0,recommendationservice,productcatalogservice,16.733872
7,7.0,cartservice,redis-cart,11.245502
7,7.0,frontend,adservice,8.001607
7,7.0,frontend,cartservice,10.812983
7,7.0,frontend,currencyservice,95.015225
7,7.0,frontend,productcatalogservice,24.437341
7,7.0,frontend,recommendationservice,12.975579
7,7.0,recommendationservice,productcatalogservice,17.300773
8,8.0,cartservice,redis-cart,10.750460
8,8.0,frontend,adservice,7.649366
8,8.0,frontend,cartservice,10.336981
8,8.0,frontend,currencyservice,90.832527
8,8.0,frontend,productcatalogservice,23.361577
8,8.0,frontend,recommendationservice,12.404377
8,8.0,recommendationservice,productcatalogservice,16.539169
9,9.0,cartservice,redis-cart,11.318159
9,9.0,frontend,adservice,8.053305
9,9.0,frontend,cartservice,10.882845
9,9.0,frontend,currencyservice,95.629116
9,9.0,frontend,productcatalogservice,24.595230
9,9.0,frontend,recommendationservice,13.059414
9,9.0,recommendationservice,productcatalogservice,17.412552
10,10.0,cartservice,redis-cart,11.013436
10,10.0,frontend,adservice,7.836483
10,10.0,frontend,cartservice,10.589843
10,10.0,frontend,currencyservice,93.054459
10,10.0,frontend,productcatalogservice,23.933044
10,10.0,frontend,recommendationservice,12.707811
10,10.0,recommendationservice,productcatalogservice,16.943748
11,11.0,cartservice,redis-cart,11.574568
11,11.0,frontend,adservice,8.235750
11,11.0,frontend,cartservice,11.129392
11,11.0,frontend,currencyservice,97.795562
11,11.0,frontend,productcatalogservice,25.152427
11,11.0,frontend,recommendationservice,13.355271
11,11.0,recommendationservice,productcatalogservice,17.807028
12,12.0,cartservice,redis-cart,10.933575
12,12.0,frontend,adservice,7.779659
12,12.0,frontend,cartservice,10.513053
12,12.0,frontend,currencyservice,92.379698
12,12.0,frontend,productcatalogservice,23.759500
12,12.0,frontend,recommendationservice,12.615664
12,12.0,recommendationservice,productcatalogservice,16.820885
13,13.0,cartservice,redis-cart,11.595111
13,13.0,frontend,adservice,8.250368
13,13.0,frontend,cartservice,11.149145
13,13.0,frontend,currencyservice,97.969133
13,13.0,frontend,productcatalogservice,25.197069
13,13.0,frontend,recommendationservice,13.378974
13,13.0,recommendationservice,productcatalogservice,17.838633
14,14.0,cartservice,redis-cart,11.716315
14,14.0,frontend,adservice,8.336609
14,14.0,frontend,cartservice,11.265687
14,14.0,frontend,currencyservice,98.993205
14,14.0,frontend,productcatalogservice,25.460454
14,14.0,frontend,recommendationservice,13.518825
14,14.0,recommendationservice,productcatalogservice,18.025100
15,15.0,cartservice,redis-cart,10.977877
15,15.0,frontend,adservice,7.811182
15,15.0,frontend,cartservice,10.555651
15,15.0,frontend,currencyservice,92.754014
15,15.0,frontend,productcatalogservice,23.855772
15,15.0,frontend,recommendationservice,12.666781
15,15.0,recommendationservice,productcatalogservice,16.889042
16,16.0,cartservice,redis-cart,10.962264
16,16.0,frontend,adservice,22.677430
16,16.0,frontend,cartservice,10.540638
16,16.0,frontend,currencyservice,40.551341
16,16.0,frontend,productcatalogservice,61.015237
