policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.978681,0.000000,7,1.525982,0.000000,0.359677,1.100147,,,68.246682,113.447368,0.601571,0.000000
cga,CGA,0,0.000,replay,0.978681,0.000000,7,1.525982,0.000000,0.359677,1.100147,,,63.198781,113.447368,0.557076,0.000000
hda,HDA,0,0.000,replay,0.978681,0.000000,7,1.525982,0.000000,0.359677,1.100147,,,54.554645,113.447368,0.480881,0.000000
kubernetes-default,K8s default,1,1.000,replay,0.975329,0.003425,7,1.525982,0.000000,0.359677,1.100147,,,67.355422,113.447368,0.593715,0.000000
cga,CGA,1,1.000,replay,0.975329,0.003425,7,1.525982,0.000000,0.359677,1.100147,,,57.608236,113.447368,0.507797,0.000000
hda,HDA,1,1.000,replay,0.975329,0.003425,7,1.525982,0.000000,0.359677,1.100147,,,55.146974,113.447368,0.486102,0.000000
kubernetes-default,K8s default,2,2.000,replay,0.972109,0.003302,7,1.525982,0.000000,0.359677,1.100147,,,66.260670,113.447368,0.584065,0.000000
cga,CGA,2,2.000,replay,0.972109,0.003302,7,1.525982,0.000000,0.359677,1.100147,,,62.577319,113.447368,0.551598,0.000000
hda,HDA,2,2.000,replay,0.972109,0.003302,7,1.525982,0.000000,0.359677,1.100147,,,58.836957,113.447368,0.518628,0.000000
kubernetes-default,K8s default,3,3.000,replay,0.963664,0.008687,7,1.525982,0.000000,0.359677,1.100147,,,66.415387,113.447368,0.585429,0.000000
cga,CGA,3,3.000,replay,0.963664,0.008687,7,1.525982,0.000000,0.359677,1.100147,,,59.153060,113.447368,0.521414,0.000000
hda,HDA,3,3.000,replay,0.963664,0.008687,7,1.525982,0.000000,0.359677,1.100147,,,55.159144,113.447368,0.486209,0.000000
