run_id,metric,unit,kubernetes,policy1,policy4,sources
live-tc-social-scale30-20260603T075507Z,latency_p50_ms,ms,173.07,55.438,191.78,kubernetes:processed/social_live_tc_metrics.json#p50_latency_ms; policy1:processed/social_live_tc_metrics.json#p50_latency_ms; policy4:processed/social_live_tc_metrics.json#p50_latency_ms
live-tc-social-scale30-20260603T075507Z,latency_p95_ms,ms,418.06,110.21,581.99,kubernetes:processed/social_live_tc_metrics.json#p95_latency_ms; policy1:processed/social_live_tc_metrics.json#p95_latency_ms; policy4:processed/social_live_tc_metrics.json#p95_latency_ms
live-tc-social-scale30-20260603T075507Z,latency_p99_ms,ms,423.93,158.90,592.77,kubernetes:processed/social_live_tc_metrics.json#p99_latency_ms; policy1:processed/social_live_tc_metrics.json#p99_latency_ms; policy4:processed/social_live_tc_metrics.json#p99_latency_ms
live-tc-social-scale30-20260603T075507Z,throughput_rps,requests/s,28.350,131.71,22.934,kubernetes:processed/social_live_tc_metrics.json#throughput_rps; policy1:processed/social_live_tc_metrics.json#throughput_rps; policy4:processed/social_live_tc_metrics.json#throughput_rps
live-tc-social-scale30-20260603T075507Z,sla_violations,count,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors; policy1:processed/social_live_tc_metrics.json#errors; policy4:processed/social_live_tc_metrics.json#errors
live-tc-social-scale30-20260603T075507Z,sla_violation_rate,ratio,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors/requests; policy1:processed/social_live_tc_metrics.json#errors/requests; policy4:processed/social_live_tc_metrics.json#errors/requests
live-tc-social-scale30-20260603T075507Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,gda_build_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,cpu_overhead_pct,percent,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,memory_overhead_mb,MiB,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,migration_count,count,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,
live-tc-social-scale30-20260603T075507Z,placement_cost_reduction_pct,percent,n/a,n/a,n/a,
