metric,value
mean_edge_jaccard_distance,0.00033501
mean_weighted_edge_distance,0.03983875
mean_hot_edge_rank_correlation,0.99913549
mean_graph_change_rate_per_s,0.00796775
mean_request_mix_entropy,1.48830601
mean_top3_hotspot_churn,0.01005025
mean_active_edge_count,14.98500000
mean_traffic_stress_gini,0.25584514
mean_traffic_stress_skew,0.85792950
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.97864699
traffic_stress_latency_correlation,0.82223092
kubernetes-default_mean_latency_ms,101.93358863
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.48830601
cga_mean_latency_ms,95.81749647
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.48830601
hda_mean_latency_ms,91.50899934
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.48830601
