policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,60.611391,108.333333,0.559490,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,61.089042,108.333333,0.563899,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,56.771468,108.333333,0.524044,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,57.706440,108.333333,0.532675,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,53.570968,108.333333,0.494501,0.000000
kubernetes-default,K8s default,1,0.100,replay,0.966640,0.003535,8,1.646925,0.000000,0.404769,0.093940,,,65.255111,108.574872,0.601015,0.000000
cga,CGA,1,0.100,replay,0.966640,0.003535,8,1.646925,0.000000,0.404769,0.093940,,,58.288862,108.574872,0.536854,0.000000
hda,HDA,1,0.100,replay,0.966640,0.003535,8,1.646925,0.000000,0.404769,0.093940,,,57.635823,108.574872,0.530839,0.000000
policy2,Policy 2,1,0.100,replay,0.966640,0.003535,8,1.646925,0.000000,0.404769,0.093940,,,57.281266,108.574872,0.527574,0.000000
policy3,Policy 3,1,0.100,replay,0.966640,0.003535,8,1.646925,0.000000,0.404769,0.093940,,,56.380805,108.574872,0.519280,0.000000
kubernetes-default,K8s default,2,0.200,replay,0.959227,0.007553,8,1.657033,0.000000,0.403425,0.094591,,,63.494971,108.815803,0.583509,0.000000
cga,CGA,2,0.200,replay,0.959227,0.007553,8,1.657033,0.000000,0.403425,0.094591,,,58.630357,108.815803,0.538804,0.000000
hda,HDA,2,0.200,replay,0.959227,0.007553,8,1.657033,0.000000,0.403425,0.094591,,,61.417475,108.815803,0.564417,0.000000
policy2,Policy 2,2,0.200,replay,0.959227,0.007553,8,1.657033,0.000000,0.403425,0.094591,,,55.977436,108.815803,0.514424,0.000000
policy3,Policy 3,2,0.200,replay,0.959227,0.007553,8,1.657033,0.000000,0.403425,0.094591,,,55.986090,108.815803,0.514503,0.000000
kubernetes-default,K8s default,3,0.300,replay,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,64.382794,109.056125,0.590364,0.000000
cga,CGA,3,0.300,replay,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,59.662926,109.056125,0.547085,0.000000
hda,HDA,3,0.300,replay,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,58.637951,109.056125,0.537686,0.000000
policy2,Policy 2,3,0.300,replay,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,62.685185,109.056125,0.574797,0.000000
policy3,Policy 3,3,0.300,replay,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,57.434504,109.056125,0.526651,0.000000
kubernetes-default,K8s default,4,0.400,replay,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,61.754338,109.295838,0.565020,0.000000
cga,CGA,4,0.400,replay,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,56.789531,109.295838,0.519595,0.000000
hda,HDA,4,0.400,replay,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,51.810764,109.295838,0.474042,0.000000
policy2,Policy 2,4,0.400,replay,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,60.197986,109.295838,0.550780,0.000000
policy3,Policy 3,4,0.400,replay,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,63.487181,109.295838,0.580875,0.000000
kubernetes-default,K8s default,5,0.500,replay,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,65.946560,109.534944,0.602060,0.000000
cga,CGA,5,0.500,replay,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,60.034934,109.534944,0.548089,0.000000
