step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.969300,0.000000,0.000000,1.000000,0.00000000,1.636641,0.000000,8,0.406120,0.093267,,,60.611391,108.333333,0.559490,0.000000
1,0.100,0.731010,0.033291,0.033291,0.033291,0.034549,0.033291,0.033291,0.033291,0.034692,65.790907,2.996227,2.996227,2.996227,3.109408,2.996227,2.996227,2.996227,3.122321,0.966640,0.000000,0.003535,1.000000,0.03534998,1.646925,0.000000,8,0.404769,0.093940,,,65.255111,108.574872,0.601015,0.000000
2,0.200,0.728693,0.033250,0.033250,0.033250,0.035762,0.033250,0.033250,0.033250,0.036048,65.582343,2.992464,2.992464,2.992464,3.218537,2.992464,2.992464,2.992464,3.244335,0.959227,0.000000,0.007553,1.000000,0.07552546,1.657033,0.000000,8,0.403425,0.094591,,,63.494971,108.815803,0.583509,0.000000
3,0.300,0.726381,0.033208,0.033208,0.033208,0.036971,0.033208,0.033208,0.033208,0.037400,65.374308,2.988711,2.988711,2.988711,3.327383,2.988711,2.988711,2.988711,3.366043,0.994400,0.111111,0.050442,1.000000,0.50442405,1.666973,0.000000,9,0.449517,0.293768,,,64.382794,109.056125,0.590364,0.000000
4,0.400,0.724076,0.033166,0.033166,0.033166,0.038177,0.033166,0.033166,0.033166,0.038749,65.166804,2.984967,2.984967,2.984967,3.435944,2.984967,2.984967,2.984967,3.487447,0.962272,0.000000,0.030430,1.000000,0.30430034,1.676749,0.000000,9,0.447952,0.294240,,,61.754338,109.295838,0.565020,0.000000
5,0.500,0.721776,0.033125,0.033125,0.033125,0.039380,0.033125,0.033125,0.033125,0.040095,64.959832,2.981234,2.981234,2.981234,3.544216,2.981234,2.981234,2.981234,3.608548,0.936001,0.000000,0.025422,1.000000,0.25421556,1.686367,0.000000,9,0.446397,0.294695,,,65.946560,109.534944,0.602060,0.000000
6,0.600,0.719482,0.033083,0.033083,0.033083,0.040580,0.033083,0.033083,0.033083,0.041437,64.753394,2.977510,2.977510,2.977510,3.652197,2.977510,2.977510,2.977510,3.729347,0.987747,0.000000,0.054208,1.000000,0.54207521,1.695831,0.000000,9,0.444852,0.295132,,,66.181157,109.773443,0.602889,0.000000
7,0.700,0.717194,0.033042,0.033042,0.033042,0.041776,0.033042,0.033042,0.033042,0.042776,64.547489,2.973797,2.973797,2.973797,3.759882,2.973797,2.973797,2.973797,3.849846,0.930631,0.000000,0.056020,1.000000,0.56019814,1.705146,0.000000,9,0.443317,0.295551,,,68.386591,110.011334,0.621632,0.000000
8,0.800,0.714912,0.033001,0.033001,0.033001,0.042970,0.033001,0.033001,0.033001,0.044112,64.342120,2.970094,2.970094,2.970094,3.867269,2.970094,2.970094,2.970094,3.970046,1.027413,0.100000,0.107686,1.000000,1.07686329,1.714317,0.000000,10,0.479429,0.464254,,,68.753729,110.248619,0.623624,0.000000
9,0.900,0.712637,0.032960,0.032960,0.032960,0.044160,0.032960,0.032960,0.032960,0.045444,64.137287,2.966402,2.966402,2.966402,3.974355,2.966402,2.966402,2.966402,4.089948,1.000329,0.100000,0.037204,1.000000,0.37203949,1.723347,0.000000,9,0.440275,0.296334,,,65.421137,110.485299,0.592125,0.000000
