metric,value
mean_edge_jaccard_distance,0.01549632
mean_weighted_edge_distance,0.04641475
mean_hot_edge_rank_correlation,0.99598685
mean_graph_change_rate_per_s,0.00928295
mean_request_mix_entropy,1.38653260
mean_top3_hotspot_churn,0.02261307
mean_active_edge_count,13.28000000
mean_traffic_stress_gini,0.28689290
mean_traffic_stress_skew,0.58687844
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.90081372
traffic_stress_latency_correlation,0.59325070
kubernetes-default_mean_latency_ms,104.78203441
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.38653260
cga_mean_latency_ms,98.49503550
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.38653260
hda_mean_latency_ms,94.07260051
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.38653260
