step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.912956,0.000000,0.000000,1.000000,0.00000000,1.181291,0.000000,14,0.451198,1.237382,,,94.125462,127.500000,0.738239,0.000000
1,5.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.924022,0.000000,0.011976,1.000000,0.00239529,1.181291,0.000000,14,0.451198,1.237382,,,95.720266,127.500000,0.750747,0.000000
2,10.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.953115,0.000000,0.030524,1.000000,0.00610475,1.181291,0.000000,14,0.451198,1.237382,,,99.672379,127.500000,0.781744,0.000000
3,15.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.983261,0.000000,0.030659,1.000000,0.00613180,1.181291,0.000000,14,0.451198,1.237382,,,100.279776,127.500000,0.786508,0.000000
4,20.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.929781,0.000000,0.054390,1.000000,0.01087808,1.181291,0.000000,14,0.451198,1.237382,,,99.607191,127.500000,0.781233,0.000000
5,25.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.928188,0.000000,0.001713,1.000000,0.00034268,1.181291,0.000000,14,0.451198,1.237382,,,99.734032,127.500000,0.782228,0.000000
6,30.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.941149,0.000000,0.013772,1.000000,0.00275445,1.181291,0.000000,14,0.451198,1.237382,,,96.970398,127.500000,0.760552,0.000000
7,35.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.994748,0.000000,0.053882,1.000000,0.01077640,1.181291,0.000000,14,0.451198,1.237382,,,99.674479,127.500000,0.781761,0.000000
8,40.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.934743,0.000000,0.060322,1.000000,0.01206436,1.181291,0.000000,14,0.451198,1.237382,,,100.653433,127.500000,0.789439,0.000000
9,45.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.995077,0.000000,0.060632,1.000000,0.01212642,1.181291,0.000000,14,0.451198,1.237382,,,103.455738,127.500000,0.811418,0.000000
10,50.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.988230,0.000000,0.006880,1.000000,0.00137610,1.181291,0.000000,14,0.451198,1.237382,,,97.917252,127.500000,0.767978,0.000000
11,55.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.936668,0.000000,0.052177,1.000000,0.01043534,1.181291,0.000000,14,0.451198,1.237382,,,98.798768,127.500000,0.774892,0.000000
12,60.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.977566,0.000000,0.041837,1.000000,0.00836742,1.181291,0.000000,14,0.451198,1.237382,,,96.749212,127.500000,0.758817,0.000000
13,65.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.969759,0.000000,0.007986,1.000000,0.00159723,1.181291,0.000000,14,0.451198,1.237382,,,96.840909,127.500000,0.759537,0.000000
14,70.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.967219,0.000000,0.002619,1.000000,0.00052386,1.181291,0.000000,14,0.451198,1.237382,,,98.644346,127.500000,0.773681,0.000000
15,75.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,1.026568,0.000000,0.057813,1.000000,0.01156264,1.181291,0.000000,14,0.451198,1.237382,,,99.158383,127.500000,0.777713,0.000000
16,80.000,0.700000,0.150000,0.150000,63.000000,13.500000,13.500000,0.937211,0.000000,0.087045,1.000000,0.01740899,1.181291,0.000000,14,0.451198,1.237382,,,101.541475,127.500000,0.796404,0.000000
