NAME                         READY   STATUS    RESTARTS   AGE   IP                NODE             NOMINATED NODE   READINESS GATES
aggregator-d886b954b-ls2s6   1/1     Running   0          24s   192.168.99.194    emu-worker-6     <none>           <none>
cache-5646fc77d6-gfw44       1/1     Running   0          24s   192.168.173.130   emu-worker-8     <none>           <none>
expert-0-f645874d6-vpd2q     1/1     Running   0          24s   192.168.254.10    k8s-emu-master   <none>           <none>
expert-1-67946dcdb-r2844     1/1     Running   0          24s   192.168.254.11    k8s-emu-master   <none>           <none>
expert-2-64449c98b6-whw9c    1/1     Running   0          23s   192.168.71.67     emu-worker-9     <none>           <none>
expert-3-66bcc998c4-vjtvp    1/1     Running   0          23s   192.168.173.131   emu-worker-8     <none>           <none>
expert-4-599474cdbb-42w8v    1/1     Running   0          22s   192.168.222.4     emu-worker-7     <none>           <none>
expert-5-bc78747db-pwmpf     1/1     Running   0          22s   192.168.254.12    k8s-emu-master   <none>           <none>
frontend-bfcfd8c76-7vxsb     1/1     Running   0          24s   192.168.71.66     emu-worker-9     <none>           <none>
router-594456bbbb-2mzjc      1/1     Running   0          24s   192.168.254.9     k8s-emu-master   <none>           <none>
tokenizer-8c67cc64d-8d59b    1/1     Running   0          24s   192.168.135.71    emu-worker-4     <none>           <none>
