NAME                          READY   STATUS    RESTARTS   AGE   IP               NODE             NOMINATED NODE   READINESS GATES
aggregator-68b7cf7d6c-gx2xm   1/1     Running   0          14s   192.168.65.17    emu-worker-1     <none>           <none>
cache-78dcb98c79-tl8fv        1/1     Running   0          14s   192.168.65.15    emu-worker-1     <none>           <none>
expert-0-fd5b4df67-9n22l      1/1     Running   0          13s   192.168.65.16    emu-worker-1     <none>           <none>
expert-1-6b44ff4fff-rrl2f     1/1     Running   0          13s   192.168.65.18    emu-worker-1     <none>           <none>
expert-2-6fbccf6bb6-f8xf7     1/1     Running   0          13s   192.168.42.70    emu-worker-3     <none>           <none>
expert-3-5654557c74-kdf6f     1/1     Running   0          13s   192.168.254.13   k8s-emu-master   <none>           <none>
expert-4-69dcbc66c4-trqvn     1/1     Running   0          13s   192.168.254.14   k8s-emu-master   <none>           <none>
expert-5-86c86c9b6-2slqg      1/1     Running   0          13s   192.168.135.72   emu-worker-4     <none>           <none>
frontend-cf68f8877-c9rjt      1/1     Running   0          19s   192.168.65.12    emu-worker-1     <none>           <none>
router-74f98cf767-qmfzx       1/1     Running   0          18s   192.168.65.14    emu-worker-1     <none>           <none>
tokenizer-79967b54d5-2nsrk    1/1     Running   0          19s   192.168.65.13    emu-worker-1     <none>           <none>
