policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
kubernetes-default,K8s default,replay,500,83.506514,0.000000,0.000000,1.636641,7.518000,false,false
cga,CGA,replay,500,78.341116,0.000000,0.000000,1.636641,7.518000,false,false
hda,HDA,replay,500,74.931756,0.000000,0.000000,1.636641,7.518000,false,false
policy2,Policy 2,replay,500,76.594862,0.000000,0.000000,1.636641,7.518000,false,false
policy3,Policy 3,replay,500,75.698125,0.000000,0.000000,1.636641,7.518000,false,false
