metric,value
mean_edge_jaccard_distance,0.01345656
mean_weighted_edge_distance,0.05184465
mean_hot_edge_rank_correlation,0.99445230
mean_graph_change_rate_per_s,0.51844632
mean_request_mix_entropy,1.63664100
mean_top3_hotspot_churn,0.00821643
mean_active_edge_count,7.51800000
mean_traffic_stress_gini,0.21679004
mean_traffic_stress_skew,0.23834301
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01630343
mean_gda_total_time_ms,0.01630343
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.70197600
traffic_stress_latency_correlation,0.15572273
kubernetes-default_mean_latency_ms,83.50651401
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.63664100
cga_mean_latency_ms,78.34111624
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.63664100
hda_mean_latency_ms,74.93175591
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.63664100
policy2_mean_latency_ms,76.59486192
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,1.63664100
policy3_mean_latency_ms,75.69812472
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,1.63664100
