source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,110,0.220000,3.876658,18.699508
cache,aggregator,55,0.110000,4.163486,42.417663
expert-0,aggregator,500,1.000000,51.701529,81.543364
expert-1,aggregator,500,1.000000,34.940576,75.164788
expert-2,aggregator,149,0.298000,12.097335,67.409690
expert-3,aggregator,55,0.110000,4.212790,41.705234
frontend,router,500,1.000000,72.838914,120.204005
frontend,tokenizer,500,1.000000,53.430556,94.403394
router,cache,110,0.220000,8.793459,61.973859
router,expert-0,500,1.000000,57.560123,90.621751
router,expert-1,500,1.000000,39.142083,82.919885
router,expert-2,225,0.450000,14.432781,74.269969
router,expert-3,55,0.110000,4.914922,48.656107
