policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.978681,0.000000,7,1.563267,0.000000,0.307166,0.178480,,,88.053462,135.890114,0.647975,0.000000
cga,CGA,0,0.000,replay,0.978681,0.000000,7,1.563267,0.000000,0.307166,0.178480,,,81.817154,135.890114,0.602083,0.000000
hda,HDA,0,0.000,replay,0.978681,0.000000,7,1.563267,0.000000,0.307166,0.178480,,,72.380747,135.890114,0.532642,0.000000
kubernetes-default,K8s default,1,1.000,replay,0.979490,0.002476,7,1.566517,0.000000,0.308617,0.170195,,,87.187361,135.834537,0.641864,0.000000
cga,CGA,1,1.000,replay,0.979490,0.002476,7,1.566517,0.000000,0.308617,0.170195,,,76.250258,135.834537,0.561347,0.000000
hda,HDA,1,1.000,replay,0.979490,0.002476,7,1.566517,0.000000,0.308617,0.170195,,,72.995719,135.834537,0.537387,0.000000
kubernetes-default,K8s default,2,2.000,replay,0.980291,0.002509,7,1.570147,0.000000,0.309991,0.162222,,,86.163334,135.780347,0.634579,0.000000
cga,CGA,2,2.000,replay,0.980291,0.002509,7,1.570147,0.000000,0.309991,0.162222,,,81.285823,135.780347,0.598657,0.000000
hda,HDA,2,2.000,replay,0.980291,0.002509,7,1.570147,0.000000,0.309991,0.162222,,,76.749355,135.780347,0.565246,0.000000
kubernetes-default,K8s default,3,3.000,replay,0.975723,0.006906,7,1.574166,0.000000,0.311287,0.154565,,,86.292471,135.727591,0.635777,0.000000
cga,CGA,3,3.000,replay,0.975723,0.006906,7,1.574166,0.000000,0.311287,0.154565,,,77.837519,135.727591,0.573483,0.000000
hda,HDA,3,3.000,replay,0.975723,0.006906,7,1.574166,0.000000,0.311287,0.154565,,,73.048521,135.727591,0.538199,0.000000
kubernetes-default,K8s default,4,4.000,replay,1.013790,0.035294,7,1.578584,0.000000,0.312574,0.147231,,,86.580434,135.676316,0.638140,0.000000
cga,CGA,4,4.000,replay,1.013790,0.035294,7,1.578584,0.000000,0.312574,0.147231,,,83.436252,135.676316,0.614965,0.000000
hda,HDA,4,4.000,replay,1.013790,0.035294,7,1.578584,0.000000,0.312574,0.147231,,,77.757851,135.676316,0.573113,0.000000
kubernetes-default,K8s default,5,5.000,replay,0.948373,0.066789,7,1.583410,0.000000,0.313783,0.140224,,,89.820373,135.626575,0.662262,0.000000
cga,CGA,5,5.000,replay,0.948373,0.066789,7,1.583410,0.000000,0.313783,0.140224,,,87.063130,135.626575,0.641933,0.000000
hda,HDA,5,5.000,replay,0.948373,0.066789,7,1.583410,0.000000,0.313783,0.140224,,,78.168092,135.626575,0.576348,0.000000
kubernetes-default,K8s default,6,6.000,replay,0.969039,0.018872,7,1.588653,0.000000,0.314910,0.133552,,,85.943740,135.578420,0.633904,0.000000
cga,CGA,6,6.000,replay,0.969039,0.018872,7,1.588653,0.000000,0.314910,0.133552,,,78.767283,135.578420,0.580972,0.000000
hda,HDA,6,6.000,replay,0.969039,0.018872,7,1.588653,0.000000,0.314910,0.133552,,,74.624455,135.578420,0.550415,0.000000
kubernetes-default,K8s default,7,7.000,replay,1.004349,0.032657,7,1.594322,0.000000,0.315950,0.127221,,,86.392855,135.531907,0.637436,0.000000
cga,CGA,7,7.000,replay,1.004349,0.032657,7,1.594322,0.000000,0.315950,0.127221,,,82.596898,135.531907,0.609428,0.000000
hda,HDA,7,7.000,replay,1.004349,0.032657,7,1.594322,0.000000,0.315950,0.127221,,,75.399164,135.531907,0.556320,0.000000
kubernetes-default,K8s default,8,8.000,replay,0.964369,0.042370,7,1.600426,0.000000,0.316900,0.121240,,,85.423958,135.487093,0.630495,0.000000
cga,CGA,8,8.000,replay,0.964369,0.042370,7,1.600426,0.000000,0.316900,0.121240,,,81.614486,135.487093,0.602378,0.000000
hda,HDA,8,8.000,replay,0.964369,0.042370,7,1.600426,0.000000,0.316900,0.121240,,,78.055152,135.487093,0.576108,0.000000
kubernetes-default,K8s default,9,9.000,replay,1.016672,0.048826,7,1.606974,0.000000,0.317758,0.115618,,,89.580898,135.444039,0.661387,0.000000
cga,CGA,9,9.000,replay,1.016672,0.048826,7,1.606974,0.000000,0.317758,0.115618,,,81.172719,135.444039,0.599308,0.000000
hda,HDA,9,9.000,replay,1.016672,0.048826,7,1.606974,0.000000,0.317758,0.115618,,,75.305846,135.444039,0.555992,0.000000
kubernetes-default,K8s default,10,10.000,replay,0.992903,0.026153,7,1.613975,0.000000,0.318520,0.110364,,,85.820483,135.402807,0.633816,0.000000
cga,CGA,10,10.000,replay,0.992903,0.026153,7,1.613975,0.000000,0.318520,0.110364,,,82.537331,135.402807,0.609569,0.000000
hda,HDA,10,10.000,replay,0.992903,0.026153,7,1.613975,0.000000,0.318520,0.110364,,,77.395846,135.402807,0.571597,0.000000
kubernetes-default,K8s default,11,11.000,replay,1.044282,0.046408,7,1.621436,0.000000,0.319184,0.105489,,,89.498839,135.363463,0.661174,0.000000
cga,CGA,11,11.000,replay,1.044282,0.046408,7,1.621436,0.000000,0.319184,0.105489,,,81.792119,135.363463,0.604241,0.000000
