step,time_s,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout,qps_index,qps_setCurrency,qps_browseProduct,qps_addToCart,qps_viewCart,qps_checkout,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.041687,0.135361,0.676804,0.083374,0.047081,0.015694,5.002437,16.243297,81.216486,10.004875,5.649678,1.883226,0.978681,0.000000,0.000000,1.000000,0.00000000,1.563267,0.000000,7,0.307166,0.178480,,,88.053462,135.890114,0.647975,0.000000
1,1.000,0.042877,0.137067,0.675854,0.081960,0.045970,0.016271,5.145204,16.448082,81.102519,9.835251,5.516365,1.952578,0.979490,0.000000,0.002476,1.000000,0.00247554,1.566517,0.000000,7,0.308617,0.170195,,,87.187361,135.834537,0.641864,0.000000
2,2.000,0.044088,0.138769,0.674775,0.080549,0.044934,0.016885,5.290589,16.652277,80.973008,9.665828,5.392095,2.026203,0.980291,0.000000,0.002509,1.000000,0.00250850,1.570147,0.000000,7,0.309991,0.162222,,,86.163334,135.780347,0.634579,0.000000
3,3.000,0.045322,0.140465,0.673564,0.079139,0.043976,0.017535,5.438583,16.855790,80.827722,9.496676,5.277080,2.104149,0.975723,0.000000,0.006906,1.000000,0.00690592,1.574166,0.000000,7,0.311287,0.154565,,,86.292471,135.727591,0.635777,0.000000
4,4.000,0.046576,0.142154,0.672220,0.077732,0.043096,0.018221,5.589175,17.058524,80.666420,9.327870,5.171543,2.186468,1.013790,0.000000,0.035294,0.964286,0.03529382,1.578584,0.000000,7,0.312574,0.147231,,,86.580434,135.676316,0.638140,0.000000
5,5.000,0.047853,0.143836,0.670740,0.076329,0.042298,0.018943,5.742351,17.260378,80.488859,9.159488,5.075716,2.273209,0.948373,0.000000,0.066789,1.000000,0.06678936,1.583410,0.000000,7,0.313783,0.140224,,,89.820373,135.626575,0.662262,0.000000
6,6.000,0.049151,0.145510,0.669123,0.074930,0.041582,0.019704,5.898095,17.461246,80.294786,8.991613,4.989837,2.364423,0.969039,0.000000,0.018872,1.000000,0.01887236,1.588653,0.000000,7,0.314910,0.133552,,,85.943740,135.578420,0.633904,0.000000
7,7.000,0.050470,0.147175,0.667366,0.073536,0.040951,0.020501,6.056391,17.661013,80.083942,8.824334,4.914155,2.460164,1.004349,0.000000,0.032657,1.000000,0.03265749,1.594322,0.000000,7,0.315950,0.127221,,,86.392855,135.531907,0.637436,0.000000
8,8.000,0.051810,0.148830,0.665467,0.072148,0.040408,0.021337,6.217219,17.859561,79.856066,8.657742,4.848928,2.560483,0.964369,0.000000,0.042370,1.000000,0.04236970,1.600426,0.000000,7,0.316900,0.121240,,,85.423958,135.487093,0.630495,0.000000
9,9.000,0.053171,0.150473,0.663424,0.070766,0.039954,0.022212,6.380556,18.056766,79.610888,8.491935,4.794421,2.665434,1.016672,0.000000,0.048826,1.000000,0.04882595,1.606974,0.000000,7,0.317758,0.115618,,,89.580898,135.444039,0.661387,0.000000
10,10.000,0.054553,0.152104,0.661234,0.069392,0.039591,0.023126,6.546375,18.252493,79.348135,8.327017,4.750911,2.775070,0.992903,0.000000,0.026153,1.000000,0.02615343,1.613975,0.000000,7,0.318520,0.110364,,,85.820483,135.402807,0.633816,0.000000
