run_id,metric,unit,workload-mixer,sources
continuous-callgraph-20260521T111256Z,latency_p50_ms,ms,88.089,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111256Z,latency_p95_ms,ms,98.079,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111256Z,latency_p99_ms,ms,100.28,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111256Z,throughput_rps,requests/s,90.000,workload-mixer:raw/request_mix_timeseries.csv#qps_*
continuous-callgraph-20260521T111256Z,sla_violations,count,n/a,
continuous-callgraph-20260521T111256Z,sla_violation_rate,ratio,0.0000,workload-mixer:raw/request_mix_timeseries.csv#sla_violation_ratio
continuous-callgraph-20260521T111256Z,scheduler_decision_time_ms,ms,n/a,
continuous-callgraph-20260521T111256Z,gda_build_time_ms,ms,n/a,
continuous-callgraph-20260521T111256Z,ndm_injection_time_ms,ms,n/a,
continuous-callgraph-20260521T111256Z,cpu_overhead_pct,percent,n/a,
continuous-callgraph-20260521T111256Z,memory_overhead_mb,MiB,n/a,
continuous-callgraph-20260521T111256Z,migration_count,count,n/a,
continuous-callgraph-20260521T111256Z,network_target_vs_measured_error,unitless,n/a,
continuous-callgraph-20260521T111256Z,placement_cost_reduction_pct,percent,n/a,
