NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     592m         14%      3032Mi          19%         
emu-worker-10    86m          2%       2787Mi          17%         
emu-worker-11    70m          3%       2146Mi          24%         
emu-worker-12    82m          4%       2149Mi          24%         
emu-worker-13    76m          3%       2124Mi          24%         
emu-worker-14    66m          3%       2174Mi          24%         
emu-worker-15    61m          3%       2126Mi          24%         
emu-worker-16    32m          1%       2171Mi          24%         
emu-worker-17    61m          3%       2171Mi          24%         
emu-worker-18    32m          1%       2099Mi          23%         
emu-worker-19    60m          3%       2124Mi          24%         
emu-worker-2     232m         5%       4019Mi          25%         
emu-worker-20    52m          2%       2203Mi          24%         
emu-worker-21    38m          1%       2049Mi          23%         
emu-worker-22    64m          3%       2120Mi          24%         
emu-worker-23    61m          3%       2214Mi          25%         
emu-worker-24    74m          3%       2125Mi          24%         
emu-worker-25    42m          2%       2180Mi          24%         
emu-worker-26    54m          2%       2120Mi          24%         
emu-worker-27    62m          3%       2058Mi          23%         
emu-worker-28    60m          3%       2055Mi          23%         
emu-worker-29    79m          3%       2128Mi          24%         
emu-worker-3     147m         3%       3020Mi          19%         
emu-worker-30    54m          2%       2199Mi          24%         
emu-worker-31    56m          2%       2119Mi          23%         
emu-worker-32    62m          3%       2126Mi          24%         
emu-worker-33    49m          2%       2092Mi          23%         
emu-worker-34    52m          2%       2040Mi          23%         
emu-worker-35    59m          2%       2108Mi          23%         
emu-worker-36    69m          3%       2124Mi          24%         
emu-worker-37    71m          3%       2207Mi          24%         
emu-worker-38    64m          3%       2180Mi          24%         
emu-worker-39    74m          3%       2186Mi          24%         
emu-worker-4     337m         8%       2799Mi          17%         
emu-worker-40    44m          2%       2200Mi          24%         
emu-worker-41    66m          3%       2119Mi          23%         
emu-worker-42    72m          3%       2116Mi          23%         
emu-worker-43    51m          2%       2199Mi          24%         
emu-worker-44    50m          2%       2162Mi          24%         
emu-worker-45    23m          1%       2172Mi          24%         
emu-worker-5     89m          2%       2562Mi          16%         
emu-worker-6     175m         4%       2942Mi          18%         
emu-worker-7     78m          1%       3079Mi          19%         
emu-worker-8     94m          2%       3254Mi          20%         
emu-worker-9     226m         5%       4043Mi          25%         
k8s-emu-master   640m         4%       8803Mi          13%         
