NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     115m         2%       3116Mi          19%         
emu-worker-10    50m          1%       2771Mi          17%         
emu-worker-11    60m          3%       2147Mi          24%         
emu-worker-12    72m          3%       2151Mi          24%         
emu-worker-13    73m          3%       2126Mi          24%         
emu-worker-14    58m          2%       2175Mi          24%         
emu-worker-15    38m          1%       2129Mi          24%         
emu-worker-16    21m          1%       2172Mi          24%         
emu-worker-17    51m          2%       2169Mi          24%         
emu-worker-18    23m          1%       2102Mi          23%         
emu-worker-19    40m          2%       2126Mi          24%         
emu-worker-2     95m          2%       3943Mi          24%         
emu-worker-20    44m          2%       2206Mi          24%         
emu-worker-21    29m          1%       2051Mi          23%         
emu-worker-22    47m          2%       2121Mi          24%         
emu-worker-23    55m          2%       2216Mi          25%         
emu-worker-24    62m          3%       2126Mi          24%         
emu-worker-25    31m          1%       2182Mi          24%         
emu-worker-26    34m          1%       2121Mi          24%         
emu-worker-27    36m          1%       2056Mi          23%         
emu-worker-28    45m          2%       2057Mi          23%         
emu-worker-29    49m          2%       2131Mi          24%         
emu-worker-3     59m          1%       3027Mi          19%         
emu-worker-30    72m          3%       2202Mi          24%         
emu-worker-31    47m          2%       2120Mi          24%         
emu-worker-32    39m          1%       2131Mi          24%         
emu-worker-33    41m          2%       2096Mi          23%         
emu-worker-34    41m          2%       2043Mi          23%         
emu-worker-35    48m          2%       2113Mi          23%         
emu-worker-36    43m          2%       2126Mi          24%         
emu-worker-37    58m          2%       2210Mi          25%         
emu-worker-38    45m          2%       2182Mi          24%         
emu-worker-39    44m          2%       2188Mi          24%         
emu-worker-4     118m         2%       2838Mi          17%         
emu-worker-40    39m          1%       2202Mi          24%         
emu-worker-41    55m          2%       2122Mi          24%         
emu-worker-42    53m          2%       2119Mi          23%         
emu-worker-43    48m          2%       2199Mi          24%         
emu-worker-44    46m          2%       2163Mi          24%         
emu-worker-45    19m          0%       2174Mi          24%         
emu-worker-5     51m          1%       2564Mi          16%         
emu-worker-6     312m         7%       2899Mi          18%         
emu-worker-7     60m          1%       3085Mi          19%         
emu-worker-8     468m         11%      3268Mi          20%         
emu-worker-9     210m         5%       4075Mi          25%         
k8s-emu-master   630m         3%       8809Mi          13%         
