ts,worker,path,method,status,latency_ms,bytes,error
2026-06-16T02:37:14.788277+00:00,1,/product/0PUK6V6EV0,GET,200,123.45691677182913,7978,
2026-06-16T02:37:14.881420+00:00,2,/product/0PUK6V6EV0,GET,200,115.71287084370852,7920,
2026-06-16T02:37:14.898586+00:00,5,/product/2ZYFJ3GM2N,GET,200,123.09215869754553,7992,
2026-06-16T02:37:14.898993+00:00,0,/product/2ZYFJ3GM2N,GET,200,120.38682401180267,7976,
2026-06-16T02:37:14.952009+00:00,1,/cart,GET,200,163.70202880352736,6871,
2026-06-16T02:37:14.952431+00:00,7,/cart,GET,200,177.25811200216413,6879,
2026-06-16T02:37:14.953585+00:00,6,/cart,GET,200,170.071376953274,6905,
2026-06-16T02:37:14.953977+00:00,3,/cart,GET,200,170.66844180226326,6849,
2026-06-16T02:37:14.954573+00:00,4,/cart,GET,200,174.69992535188794,6899,
2026-06-16T02:37:14.977402+00:00,2,/product/0PUK6V6EV0,GET,200,95.92179302126169,7936,
2026-06-16T02:37:15.057823+00:00,1,/cart,GET,200,105.73169915005565,6885,
2026-06-16T02:37:15.064636+00:00,7,/product/2ZYFJ3GM2N,GET,200,112.1924789622426,7978,
2026-06-16T02:37:15.065619+00:00,0,/product/0PUK6V6EV0,GET,200,166.59215278923512,7942,
2026-06-16T02:37:15.068967+00:00,5,/product/0PUK6V6EV0,GET,200,170.30006786808372,7964,
2026-06-16T02:37:15.070209+00:00,6,/product/2ZYFJ3GM2N,GET,200,116.54485622420907,8004,
2026-06-16T02:37:15.073355+00:00,4,/product/2ZYFJ3GM2N,GET,200,118.63411171361804,8000,
2026-06-16T02:37:15.079002+00:00,3,/,GET,200,124.99763816595078,10499,
2026-06-16T02:37:15.160243+00:00,2,/product/0PUK6V6EV0,GET,200,182.79624497517943,7974,
2026-06-16T02:37:15.165210+00:00,1,/product/0PUK6V6EV0,GET,200,107.33275581151247,7966,
2026-06-16T02:37:15.177979+00:00,0,/product/2ZYFJ3GM2N,GET,200,112.26268159225583,7960,
2026-06-16T02:37:15.182814+00:00,6,/product/2ZYFJ3GM2N,GET,200,112.54794802516699,7978,
2026-06-16T02:37:15.188012+00:00,4,/product/0PUK6V6EV0,GET,200,114.60916977375746,7968,
2026-06-16T02:37:15.250275+00:00,3,/product/0PUK6V6EV0,GET,200,171.2495950050652,7972,
2026-06-16T02:37:15.260308+00:00,2,/product/0PUK6V6EV0,GET,200,99.99913396313787,7928,
2026-06-16T02:37:15.270313+00:00,7,/,GET,200,205.56745491921902,10499,
2026-06-16T02:37:15.273348+00:00,1,/product/0PUK6V6EV0,GET,200,108.09371015056968,7946,
2026-06-16T02:37:15.359397+00:00,3,/cart,GET,200,109.03997300192714,6887,
2026-06-16T02:37:15.359847+00:00,4,/cart,GET,200,171.78881168365479,6871,
2026-06-16T02:37:15.367005+00:00,5,/,GET,200,297.96256497502327,10499,
2026-06-16T02:37:15.380475+00:00,0,/product/0PUK6V6EV0,GET,200,202.46954867616296,7956,
2026-06-16T02:37:15.457167+00:00,3,/cart,GET,200,97.70501079037786,6853,
2026-06-16T02:37:15.457574+00:00,2,/cart,GET,200,197.20948301255703,6869,
2026-06-16T02:37:15.460487+00:00,7,/product/0PUK6V6EV0,GET,200,190.12213312089443,7940,
2026-06-16T02:37:15.464887+00:00,4,/product/0PUK6V6EV0,GET,200,104.99835992231965,7954,
2026-06-16T02:37:15.467203+00:00,5,/cart,GET,200,100.15822062268853,6909,
2026-06-16T02:37:15.467559+00:00,6,/,GET,200,284.67117017135024,10499,
2026-06-16T02:37:15.477886+00:00,1,/,GET,200,204.46477783843875,10499,
2026-06-16T02:37:15.486355+00:00,0,/cart,GET,200,105.80817284062505,6891,
2026-06-16T02:37:15.557114+00:00,2,/cart,GET,200,99.48973404243588,6889,
2026-06-16T02:37:15.579176+00:00,1,/cart,GET,200,101.26943467184901,6869,
2026-06-16T02:37:15.579494+00:00,3,/cart,GET,200,122.25096486508846,6845,
2026-06-16T02:37:15.583771+00:00,7,/product/0PUK6V6EV0,GET,200,123.23167081922293,7962,
2026-06-16T02:37:15.585474+00:00,4,/cart,GET,200,120.51065592095256,6853,
2026-06-16T02:37:15.586475+00:00,6,/cart,GET,200,118.87500528246164,6869,
2026-06-16T02:37:15.651518+00:00,5,/product/0PUK6V6EV0,GET,200,184.29700005799532,7958,
2026-06-16T02:37:15.657455+00:00,0,/cart,GET,200,171.07834294438362,6867,
2026-06-16T02:37:15.658579+00:00,2,/product/2ZYFJ3GM2N,GET,200,101.39966011047363,8000,
2026-06-16T02:37:15.751432+00:00,1,/product/2ZYFJ3GM2N,GET,200,172.21861006692052,7990,
2026-06-16T02:37:15.752143+00:00,6,/cart,GET,200,165.66781187430024,6879,
2026-06-16T02:37:15.752533+00:00,5,/cart,GET,200,100.91738309711218,6853,
2026-06-16T02:37:15.758787+00:00,7,/product/2ZYFJ3GM2N,GET,200,174.9486718326807,7964,
2026-06-16T02:37:15.759307+00:00,3,/product/0PUK6V6EV0,GET,200,179.7923161648214,7968,
2026-06-16T02:37:15.762958+00:00,4,/,GET,200,177.4569759145379,10499,
2026-06-16T02:37:15.763253+00:00,2,/product/2ZYFJ3GM2N,GET,200,104.63696718215942,7998,
2026-06-16T02:37:15.765059+00:00,0,/cart,GET,200,107.53279225900769,6871,
2026-06-16T02:37:16.060383+00:00,7,/cart,GET,200,301.5280100516975,6875,
2026-06-16T02:37:16.084851+00:00,4,/product/2ZYFJ3GM2N,GET,200,321.85376482084394,7938,
2026-06-16T02:37:16.085153+00:00,1,/product/2ZYFJ3GM2N,GET,200,333.63767992705107,7978,
2026-06-16T02:37:16.085521+00:00,2,/product/0PUK6V6EV0,GET,200,322.24501203745604,7966,
2026-06-16T02:37:16.378730+00:00,3,/,GET,200,619.3803492933512,10499,
2026-06-16T02:37:16.379135+00:00,0,/,GET,200,614.0625020489097,10499,
