NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-58f45cd888-wqzlh               59m          128Mi           
cartservice-68fbdf6d55-6hskz             64m          87Mi            
checkoutservice-5b8f7db9c6-km24k         5m           47Mi            
currencyservice-86995867f4-lhbmt         190m         76Mi            
emailservice-6fcfd945cb-sg7fb            7m           76Mi            
frontend-5cd7595769-xgffb                339m         54Mi            
loadgenerator-8499c8dcc5-zp7hp           10m          88Mi            
paymentservice-6f8b766fdd-zh9n5          6m           63Mi            
productcatalogservice-59b4cb68bd-skg5w   121m         49Mi            
recommendationservice-5ff9ff95dd-qkdpj   69m          73Mi            
redis-cart-7bb757cc48-vtcfq              14m          46Mi            
shippingservice-9647fdd5b-jp25c          18m          48Mi            
