sample,timestamp_utc,namespace,metric_source,service_count,active_edges,density,sparse_query_count,dense_logical_query_count,query_reduction_ratio_vs_dense,prometheus_query_latency_ms,graph_build_wall_ms,graph_build_cpu_ms,gda_total_wall_ms,peak_python_memory_mib,dense_local_pair_scan_wall_ms,dense_local_pair_scan_found_edges
1,2026-06-16T02:38:04.704590+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,11.035276111215353,0.3693350590765476,0.35923399999981953,11.4046111702919,0.01226806640625,0.013906974345445633,15
2,2026-06-16T02:38:07.718957+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,10.664134752005339,0.32886024564504623,0.3199499999997357,10.992994997650385,0.01100921630859375,0.015277881175279617,15
3,2026-06-16T02:38:10.733143+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,10.518571827560663,0.32786838710308075,0.3179859999997703,10.846440214663744,0.01100921630859375,0.020549632608890533,15
4,2026-06-16T02:38:13.745388+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,8.669668808579445,0.22888090461492538,0.22198599999967428,8.89854971319437,0.01100921630859375,0.015278346836566925,15
5,2026-06-16T02:38:16.757387+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,8.806576952338219,0.22833002731204033,0.22191699999973835,9.034906979650259,0.01100921630859375,0.016279984265565872,15
6,2026-06-16T02:38:19.771509+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,10.523029137402773,0.2588983625173569,0.25076000000012755,10.78192749992013,0.01100921630859375,0.025508925318717957,15
7,2026-06-16T02:38:22.785197+00:00,gda-real-online-boutique-scale45-20260616t023627z,istio_request_response_bytes,12,15,0.11363636363636363,2,264,132.0,10.082653257995844,0.23386115208268166,0.22662499999981378,10.316514410078526,0.01100921630859375,0.01619011163711548,15
