metric,value
mean_edge_jaccard_distance,0.00813934
mean_weighted_edge_distance,0.04432428
mean_hot_edge_rank_correlation,0.99972569
mean_graph_change_rate_per_s,0.44324271
mean_request_mix_entropy,2.96801110
mean_top3_hotspot_churn,0.00200401
mean_active_edge_count,10.81000000
mean_traffic_stress_gini,0.35779086
mean_traffic_stress_skew,0.21433148
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01820881
mean_gda_total_time_ms,0.01820881
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.82658550
traffic_stress_latency_correlation,0.62008448
kubernetes-default_mean_latency_ms,82.75465768
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,2.96801110
cga_mean_latency_ms,77.63437131
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,2.96801110
hda_mean_latency_ms,74.25508519
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,2.96801110
policy2_mean_latency_ms,75.90315408
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,2.96801110
policy3_mean_latency_ms,75.01393544
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,2.96801110
