step,time_s,source,destination,weight
0,0.0,compose-post-service,home-timeline-service,8.627432
0,0.0,compose-post-service,post-storage-service,9.859922
0,0.0,compose-post-service,url-shorten-service,5.546206
0,0.0,compose-post-service,user-mention-service,5.546206
0,0.0,compose-post-service,user-service,7.394941
0,0.0,compose-post-service,user-timeline-service,7.394941
0,0.0,home-timeline-service,post-storage-service,51.764589
0,0.0,home-timeline-service,social-graph-service,40.261347
0,0.0,home-timeline-service,user-service,28.758105
0,0.0,nginx-thrift,compose-post-service,12.324902
0,0.0,nginx-thrift,home-timeline-service,57.516210
0,0.0,nginx-thrift,user-timeline-service,12.324902
0,0.0,user-timeline-service,post-storage-service,10.476167
0,0.0,user-timeline-service,user-service,6.778696
1,5.0,compose-post-service,home-timeline-service,8.771331
1,5.0,compose-post-service,post-storage-service,10.024378
1,5.0,compose-post-service,url-shorten-service,5.638713
1,5.0,compose-post-service,user-mention-service,5.638713
1,5.0,compose-post-service,user-service,7.518284
1,5.0,compose-post-service,user-timeline-service,7.518284
1,5.0,home-timeline-service,post-storage-service,52.627986
1,5.0,home-timeline-service,social-graph-service,40.932878
1,5.0,home-timeline-service,user-service,29.237770
1,5.0,nginx-thrift,compose-post-service,12.530473
1,5.0,nginx-thrift,home-timeline-service,58.475541
1,5.0,nginx-thrift,user-timeline-service,12.530473
1,5.0,user-timeline-service,post-storage-service,10.650902
1,5.0,user-timeline-service,user-service,6.891760
2,10.0,compose-post-service,home-timeline-service,9.084261
2,10.0,compose-post-service,post-storage-service,10.382012
2,10.0,compose-post-service,url-shorten-service,5.839882
2,10.0,compose-post-service,user-mention-service,5.839882
2,10.0,compose-post-service,user-service,7.786509
2,10.0,compose-post-service,user-timeline-service,7.786509
2,10.0,home-timeline-service,post-storage-service,54.505564
2,10.0,home-timeline-service,social-graph-service,42.393216
2,10.0,home-timeline-service,user-service,30.280869
2,10.0,nginx-thrift,compose-post-service,12.977515
2,10.0,nginx-thrift,home-timeline-service,60.561738
2,10.0,nginx-thrift,user-timeline-service,12.977515
2,10.0,user-timeline-service,post-storage-service,11.030888
2,10.0,user-timeline-service,user-service,7.137633
3,15.0,compose-post-service,home-timeline-service,9.405779
3,15.0,compose-post-service,post-storage-service,10.749461
3,15.0,compose-post-service,url-shorten-service,6.046572
3,15.0,compose-post-service,user-mention-service,6.046572
3,15.0,compose-post-service,user-service,8.062096
3,15.0,compose-post-service,user-timeline-service,8.062096
3,15.0,home-timeline-service,post-storage-service,56.434672
3,15.0,home-timeline-service,social-graph-service,43.893633
3,15.0,home-timeline-service,user-service,31.352595
3,15.0,nginx-thrift,compose-post-service,13.436827
3,15.0,nginx-thrift,home-timeline-service,62.705191
3,15.0,nginx-thrift,user-timeline-service,13.436827
3,15.0,user-timeline-service,post-storage-service,11.421303
3,15.0,user-timeline-service,user-service,7.390255
4,20.0,compose-post-service,home-timeline-service,8.935624
4,20.0,compose-post-service,post-storage-service,10.212141
4,20.0,compose-post-service,url-shorten-service,5.744330
4,20.0,compose-post-service,user-mention-service,5.744330
4,20.0,compose-post-service,user-service,7.659106
4,20.0,compose-post-service,user-timeline-service,7.659106
4,20.0,home-timeline-service,post-storage-service,53.613742
4,20.0,home-timeline-service,social-graph-service,41.699577
4,20.0,home-timeline-service,user-service,29.785412
4,20.0,nginx-thrift,compose-post-service,12.765177
4,20.0,nginx-thrift,home-timeline-service,59.570825
4,20.0,nginx-thrift,user-timeline-service,12.765177
4,20.0,user-timeline-service,post-storage-service,10.850400
4,20.0,user-timeline-service,user-service,7.020847
5,25.0,compose-post-service,home-timeline-service,8.954346
5,25.0,compose-post-service,post-storage-service,10.233538
5,25.0,compose-post-service,url-shorten-service,5.756365
5,25.0,compose-post-service,user-mention-service,5.756365
5,25.0,compose-post-service,user-service,7.675154
5,25.0,compose-post-service,user-timeline-service,7.675154
5,25.0,home-timeline-service,post-storage-service,53.726075
5,25.0,home-timeline-service,social-graph-service,41.786948
5,25.0,home-timeline-service,user-service,29.847820
5,25.0,nginx-thrift,compose-post-service,12.791923
5,25.0,nginx-thrift,home-timeline-service,59.695639
5,25.0,nginx-thrift,user-timeline-service,12.791923
5,25.0,user-timeline-service,post-storage-service,10.873134
5,25.0,user-timeline-service,user-service,7.035557
6,30.0,compose-post-service,home-timeline-service,9.109115
6,30.0,compose-post-service,post-storage-service,10.410417
6,30.0,compose-post-service,url-shorten-service,5.855860
6,30.0,compose-post-service,user-mention-service,5.855860
6,30.0,compose-post-service,user-service,7.807813
6,30.0,compose-post-service,user-timeline-service,7.807813
6,30.0,home-timeline-service,post-storage-service,54.654690
6,30.0,home-timeline-service,social-graph-service,42.509203
6,30.0,home-timeline-service,user-service,30.363716
6,30.0,nginx-thrift,compose-post-service,13.013021
6,30.0,nginx-thrift,home-timeline-service,60.727433
6,30.0,nginx-thrift,user-timeline-service,13.013021
6,30.0,user-timeline-service,post-storage-service,11.061068
6,30.0,user-timeline-service,user-service,7.157162
7,35.0,compose-post-service,home-timeline-service,9.646369
7,35.0,compose-post-service,post-storage-service,11.024422
7,35.0,compose-post-service,url-shorten-service,6.201237
7,35.0,compose-post-service,user-mention-service,6.201237
7,35.0,compose-post-service,user-service,8.268316
7,35.0,compose-post-service,user-timeline-service,8.268316
7,35.0,home-timeline-service,post-storage-service,57.878215
7,35.0,home-timeline-service,social-graph-service,45.016389
7,35.0,home-timeline-service,user-service,32.154564
7,35.0,nginx-thrift,compose-post-service,13.780527
7,35.0,nginx-thrift,home-timeline-service,64.309128
7,35.0,nginx-thrift,user-timeline-service,13.780527
7,35.0,user-timeline-service,post-storage-service,11.713448
7,35.0,user-timeline-service,user-service,7.579290
8,40.0,compose-post-service,home-timeline-service,9.108489
8,40.0,compose-post-service,post-storage-service,10.409701
8,40.0,compose-post-service,url-shorten-service,5.855457
8,40.0,compose-post-service,user-mention-service,5.855457
8,40.0,compose-post-service,user-service,7.807276
8,40.0,compose-post-service,user-timeline-service,7.807276
8,40.0,home-timeline-service,post-storage-service,54.650933
8,40.0,home-timeline-service,social-graph-service,42.506281
8,40.0,home-timeline-service,user-service,30.361629
8,40.0,nginx-thrift,compose-post-service,13.012127
8,40.0,nginx-thrift,home-timeline-service,60.723258
8,40.0,nginx-thrift,user-timeline-service,13.012127
8,40.0,user-timeline-service,post-storage-service,11.060308
8,40.0,user-timeline-service,user-service,7.156670
9,45.0,compose-post-service,home-timeline-service,9.706194
9,45.0,compose-post-service,post-storage-service,11.092793
9,45.0,compose-post-service,url-shorten-service,6.239696
9,45.0,compose-post-service,user-mention-service,6.239696
9,45.0,compose-post-service,user-service,8.319595
9,45.0,compose-post-service,user-timeline-service,8.319595
9,45.0,home-timeline-service,post-storage-service,58.237162
9,45.0,home-timeline-service,social-graph-service,45.295570
9,45.0,home-timeline-service,user-service,32.353979
9,45.0,nginx-thrift,compose-post-service,13.865991
9,45.0,nginx-thrift,home-timeline-service,64.707957
9,45.0,nginx-thrift,user-timeline-service,13.865991
