policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay/model/control-plane,0.912956,0.000000,14,1.181291,0.000000,0.451198,1.237382,,,94.125462,127.500000,0.738239,0.000000
cga,CGA,0,0.000,replay/model/control-plane,0.912956,0.000000,14,1.181291,0.000000,0.451198,1.237382,,,91.025996,127.500000,0.713929,0.000000
hda,HDA,0,0.000,replay/model/control-plane,0.912956,0.000000,14,1.181291,0.000000,0.451198,1.237382,,,82.772183,127.500000,0.649194,0.000000
kubernetes-default,K8s default,1,5.000,replay/model/control-plane,0.928183,0.016406,14,1.181291,0.000000,0.451198,1.237382,,,96.081033,127.500000,0.753577,0.000000
cga,CGA,1,5.000,replay/model/control-plane,0.928183,0.016406,14,1.181291,0.000000,0.451198,1.237382,,,91.305484,127.500000,0.716121,0.000000
hda,HDA,1,5.000,replay/model/control-plane,0.928183,0.016406,14,1.181291,0.000000,0.451198,1.237382,,,86.638320,127.500000,0.679516,0.000000
kubernetes-default,K8s default,2,10.000,replay/model/control-plane,0.961297,0.034447,14,1.181291,0.000000,0.451198,1.237382,,,100.171227,127.500000,0.785657,0.000000
cga,CGA,2,10.000,replay/model/control-plane,0.961297,0.034447,14,1.181291,0.000000,0.451198,1.237382,,,92.396112,127.500000,0.724675,0.000000
hda,HDA,2,10.000,replay/model/control-plane,0.961297,0.034447,14,1.181291,0.000000,0.451198,1.237382,,,91.023397,127.500000,0.713909,0.000000
kubernetes-default,K8s default,3,15.000,replay/model/control-plane,0.995320,0.034183,14,1.181291,0.000000,0.451198,1.237382,,,100.915608,127.500000,0.791495,0.000000
cga,CGA,3,15.000,replay/model/control-plane,0.995320,0.034183,14,1.181291,0.000000,0.451198,1.237382,,,97.821994,127.500000,0.767231,0.000000
hda,HDA,3,15.000,replay/model/control-plane,0.995320,0.034183,14,1.181291,0.000000,0.451198,1.237382,,,87.798711,127.500000,0.688617,0.000000
kubernetes-default,K8s default,4,20.000,replay/model/control-plane,0.945569,0.049986,14,1.181291,0.000000,0.451198,1.237382,,,100.042787,127.500000,0.784649,0.000000
cga,CGA,4,20.000,replay/model/control-plane,0.945569,0.049986,14,1.181291,0.000000,0.451198,1.237382,,,93.402715,127.500000,0.732570,0.000000
hda,HDA,4,20.000,replay/model/control-plane,0.945569,0.049986,14,1.181291,0.000000,0.451198,1.237382,,,89.353991,127.500000,0.700816,0.000000
