step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.969300,0.000000,0.000000,1.000000,0.00000000,1.827785,0.000000,10,0.476110,0.462632,,,62.326702,110.555556,0.563759,0.000000
1,0.100,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.966640,0.000000,0.002743,1.000000,0.02743249,1.827785,0.000000,10,0.476110,0.462632,,,66.751193,110.555556,0.603780,0.000000
2,0.200,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.959227,0.000000,0.007669,1.000000,0.07669020,1.827785,0.000000,10,0.476110,0.462632,,,64.844861,110.555556,0.586536,0.000000
3,0.300,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.994400,0.000000,0.035371,1.000000,0.35370745,1.827785,0.000000,10,0.476110,0.462632,,,64.900096,110.555556,0.587036,0.000000
4,0.400,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.962272,0.000000,0.032309,1.000000,0.32308549,1.827785,0.000000,10,0.476110,0.462632,,,62.821316,110.555556,0.568233,0.000000
5,0.500,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.688889,0.038889,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,62.000000,3.500000,0.936001,0.200000,0.204857,0.893621,2.04857484,1.827785,0.500000,8,0.399782,0.056411,,,85.364353,123.555556,0.690899,0.000000
6,0.600,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.987747,0.200000,0.225365,0.893621,2.25364633,1.827785,0.500000,10,0.476110,0.462632,,,74.342612,110.555556,0.672446,0.000000
7,0.700,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,0.038889,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,0.930631,0.100000,0.071020,1.000000,0.71020273,1.827785,0.000000,9,0.439619,0.293469,,,69.485453,110.555556,0.628512,0.000000
8,0.800,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,1.027413,0.272727,0.584363,0.100228,5.84362595,1.827785,0.800000,10,0.372545,0.421327,,,78.867636,100.805556,0.782374,0.000000
9,0.900,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,1.000329,0.000000,0.026361,1.000000,0.26361366,1.827785,0.000000,10,0.372545,0.421327,,,54.020027,100.805556,0.535883,0.000000
10,1.000,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,0.936932,0.000000,0.063376,1.000000,0.63376135,1.827785,0.000000,10,0.372545,0.421327,,,58.504153,100.805556,0.580366,0.000000
11,1.100,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,0.953046,0.000000,0.016907,1.000000,0.16907418,1.827785,0.000000,10,0.372545,0.421327,,,54.655629,100.805556,0.542189,0.000000
12,1.200,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,1.032153,0.000000,0.076643,1.000000,0.76642728,1.827785,0.000000,10,0.372545,0.421327,,,61.669798,100.805556,0.611770,0.000000
13,1.300,0.038889,0.038889,0.038889,0.688889,0.038889,0.038889,0.038889,0.038889,0.038889,3.500000,3.500000,3.500000,62.000000,3.500000,3.500000,3.500000,3.500000,3.500000,1.015852,0.000000,0.015793,1.000000,0.15793309,1.827785,0.000000,10,0.372545,0.421327,,,49.779198,100.805556,0.493814,0.000000
