policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,62.326702,110.555556,0.563759,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,62.701435,110.555556,0.567149,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,58.315248,110.555556,0.527475,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,59.284526,110.555556,0.536242,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,55.131901,110.555556,0.498681,0.000000
kubernetes-default,K8s default,1,0.100,replay,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,66.751193,110.555556,0.603780,0.000000
cga,CGA,1,0.100,replay,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,59.695179,110.555556,0.539956,0.000000
hda,HDA,1,0.100,replay,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,58.982296,110.555556,0.533508,0.000000
policy2,Policy 2,1,0.100,replay,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,58.657661,110.555556,0.530572,0.000000
policy3,Policy 3,1,0.100,replay,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,57.742239,110.555556,0.522292,0.000000
kubernetes-default,K8s default,2,0.200,replay,0.959227,0.007669,10,1.827785,0.000000,0.476110,0.462632,,,64.844861,110.555556,0.586536,0.000000
cga,CGA,2,0.200,replay,0.959227,0.007669,10,1.827785,0.000000,0.476110,0.462632,,,59.899254,110.555556,0.541802,0.000000
hda,HDA,2,0.200,replay,0.959227,0.007669,10,1.827785,0.000000,0.476110,0.462632,,,62.632376,110.555556,0.566524,0.000000
policy2,Policy 2,2,0.200,replay,0.959227,0.007669,10,1.827785,0.000000,0.476110,0.462632,,,57.219335,110.555556,0.517562,0.000000
policy3,Policy 3,2,0.200,replay,0.959227,0.007669,10,1.827785,0.000000,0.476110,0.462632,,,57.214490,110.555556,0.517518,0.000000
kubernetes-default,K8s default,3,0.300,replay,0.994400,0.035371,10,1.827785,0.000000,0.476110,0.462632,,,64.900096,110.555556,0.587036,0.000000
cga,CGA,3,0.300,replay,0.994400,0.035371,10,1.827785,0.000000,0.476110,0.462632,,,60.149191,110.555556,0.544063,0.000000
hda,HDA,3,0.300,replay,0.994400,0.035371,10,1.827785,0.000000,0.476110,0.462632,,,59.103524,110.555556,0.534605,0.000000
policy2,Policy 2,3,0.300,replay,0.994400,0.035371,10,1.827785,0.000000,0.476110,0.462632,,,63.161103,110.555556,0.571306,0.000000
policy3,Policy 3,3,0.300,replay,0.994400,0.035371,10,1.827785,0.000000,0.476110,0.462632,,,57.905249,110.555556,0.523766,0.000000
kubernetes-default,K8s default,4,0.400,replay,0.962272,0.032309,10,1.827785,0.000000,0.476110,0.462632,,,62.821316,110.555556,0.568233,0.000000
cga,CGA,4,0.400,replay,0.962272,0.032309,10,1.827785,0.000000,0.476110,0.462632,,,57.792491,110.555556,0.522746,0.000000
hda,HDA,4,0.400,replay,0.962272,0.032309,10,1.827785,0.000000,0.476110,0.462632,,,52.771044,110.555556,0.477326,0.000000
policy2,Policy 2,4,0.400,replay,0.962272,0.032309,10,1.827785,0.000000,0.476110,0.462632,,,61.179606,110.555556,0.553383,0.000000
policy3,Policy 3,4,0.400,replay,0.962272,0.032309,10,1.827785,0.000000,0.476110,0.462632,,,64.458132,110.555556,0.583038,0.000000
kubernetes-default,K8s default,5,0.500,replay,0.936001,0.204857,8,1.827785,0.500000,0.399782,0.056411,,,85.364353,123.555556,0.690899,0.000000
cga,CGA,5,0.500,replay,0.936001,0.204857,8,1.827785,0.500000,0.399782,0.056411,,,78.287659,123.555556,0.633623,0.000000
hda,HDA,5,0.500,replay,0.936001,0.204857,8,1.827785,0.500000,0.399782,0.056411,,,69.961756,123.555556,0.566237,0.000000
policy2,Policy 2,5,0.500,replay,0.936001,0.204857,8,1.827785,0.500000,0.399782,0.056411,,,77.789305,123.555556,0.629590,0.000000
policy3,Policy 3,5,0.500,replay,0.936001,0.204857,8,1.827785,0.500000,0.399782,0.056411,,,72.192179,123.555556,0.584289,0.000000
kubernetes-default,K8s default,6,0.600,replay,0.987747,0.225365,10,1.827785,0.500000,0.476110,0.462632,,,74.342612,110.555556,0.672446,0.000000
cga,CGA,6,0.600,replay,0.987747,0.225365,10,1.827785,0.500000,0.476110,0.462632,,,66.147714,110.555556,0.598321,0.000000
hda,HDA,6,0.600,replay,0.987747,0.225365,10,1.827785,0.500000,0.476110,0.462632,,,70.492184,110.555556,0.637618,0.000000
policy2,Policy 2,6,0.600,replay,0.987747,0.225365,10,1.827785,0.500000,0.476110,0.462632,,,71.735771,110.555556,0.648866,0.000000
policy3,Policy 3,6,0.600,replay,0.987747,0.225365,10,1.827785,0.500000,0.476110,0.462632,,,66.718141,110.555556,0.603481,0.000000
kubernetes-default,K8s default,7,0.700,replay,0.930631,0.071020,9,1.827785,0.000000,0.439619,0.293469,,,69.485453,110.555556,0.628512,0.000000
cga,CGA,7,0.700,replay,0.930631,0.071020,9,1.827785,0.000000,0.439619,0.293469,,,61.718764,110.555556,0.558260,0.000000
hda,HDA,7,0.700,replay,0.930631,0.071020,9,1.827785,0.000000,0.439619,0.293469,,,59.066750,110.555556,0.534272,0.000000
policy2,Policy 2,7,0.700,replay,0.930631,0.071020,9,1.827785,0.000000,0.439619,0.293469,,,61.262783,110.555556,0.554136,0.000000
policy3,Policy 3,7,0.700,replay,0.930631,0.071020,9,1.827785,0.000000,0.439619,0.293469,,,60.262276,110.555556,0.545086,0.000000
kubernetes-default,K8s default,8,0.800,replay,1.027413,0.584363,10,1.827785,0.800000,0.372545,0.421327,,,78.867636,100.805556,0.782374,0.000000
cga,CGA,8,0.800,replay,1.027413,0.584363,10,1.827785,0.800000,0.372545,0.421327,,,77.977114,100.805556,0.773540,0.000000
hda,HDA,8,0.800,replay,1.027413,0.584363,10,1.827785,0.800000,0.372545,0.421327,,,74.995672,100.805556,0.743964,0.000000
policy2,Policy 2,8,0.800,replay,1.027413,0.584363,10,1.827785,0.800000,0.372545,0.421327,,,74.861775,100.805556,0.742635,0.000000
policy3,Policy 3,8,0.800,replay,1.027413,0.584363,10,1.827785,0.800000,0.372545,0.421327,,,69.135737,100.805556,0.685833,0.000000
kubernetes-default,K8s default,9,0.900,replay,1.000329,0.026361,10,1.827785,0.000000,0.372545,0.421327,,,54.020027,100.805556,0.535883,0.000000
cga,CGA,9,0.900,replay,1.000329,0.026361,10,1.827785,0.000000,0.372545,0.421327,,,50.276427,100.805556,0.498747,0.000000
hda,HDA,9,0.900,replay,1.000329,0.026361,10,1.827785,0.000000,0.372545,0.421327,,,51.650326,100.805556,0.512376,0.000000
policy2,Policy 2,9,0.900,replay,1.000329,0.026361,10,1.827785,0.000000,0.372545,0.421327,,,55.004110,100.805556,0.545646,0.000000
