metric,value
mean_edge_jaccard_distance,0.01215057
mean_weighted_edge_distance,0.04147860
mean_hot_edge_rank_correlation,0.99873952
mean_graph_change_rate_per_s,0.04147861
mean_request_mix_entropy,1.95664950
mean_top3_hotspot_churn,0.00501002
mean_active_edge_count,9.04600000
mean_traffic_stress_gini,0.30727410
mean_traffic_stress_skew,0.40328985
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01129190
mean_gda_total_time_ms,0.01129190
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.97489625
traffic_stress_latency_correlation,0.75584682
kubernetes-default_mean_latency_ms,82.52391874
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.95664950
cga_mean_latency_ms,77.47136800
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.95664950
hda_mean_latency_ms,74.25905195
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.95664950
